qid,category,expected,question,condition,answer,outcome,refused,refusal_reason,nearest_distance,sources,total_s,behaved_correctly,answer_correct,error
A01,answerable,answer,What does the Viterbi algorithm compute for a hidden Markov model?,Threshold off,The Viterbi algorithm computes the most likely sequence of hidden states that could have produced a given sequence of observations.,answered,False,,0.2248,Viterbi algorithm.pdf; Viterbi algorithm.pdf; Viterbi algorithm.pdf; Viterbi algorithm.pdf; Hidden Markov model.pdf; Viterbi algorithm.pdf; Viterbi algorithm.pdf; Hidden Markov model.pdf; Viterbi algorithm.pdf; Viterbi algorithm.pdf,3.911,True,,
A02,answerable,answer,What normal form must a grammar be in before the CYK algorithm can be applied?,Threshold off,Chomsky normal form (CNF).,answered,False,,0.2156,CYK algorithm.pdf; CYK algorithm.pdf; CYK algorithm.pdf; CYK algorithm.pdf; CYK algorithm.pdf; CYK algorithm.pdf; CYK algorithm.pdf; CYK algorithm.pdf; CYK algorithm.pdf; CYK algorithm.pdf,2.115,True,,
A03,answerable,answer,Which researchers is the CYK algorithm named after?,Threshold off,"The CYK algorithm is named after John Cocke, Daniel Younger, Tadao Kasami, and Jacob T. Schwartz.",answered,False,,0.4099,CYK algorithm.pdf; CYK algorithm.pdf; CYK algorithm.pdf; CYK algorithm.pdf; CYK algorithm.pdf; CYK algorithm.pdf; CYK algorithm.pdf; CYK algorithm.pdf; Part-of-speech tagging.pdf; Viterbi algorithm.pdf,4.505,True,,
A04,answerable,answer,What are the two model architectures used by Word2Vec?,Threshold off,The Distributed Memory Model of Paragraph Vectors (PV-DM) and the Distributed Bag of Words version of Paragraph Vector (PV-DBOW).,answered,False,,0.3009,Word2Vec - Wikipedia.pdf; Word2Vec - Wikipedia.pdf; Word2Vec - Wikipedia.pdf; Word2Vec - Wikipedia.pdf; Word2Vec - Wikipedia.pdf; Word2Vec - Wikipedia.pdf; word2vec.pdf; subword-embedding.pdf; Word2Vec - Wikipedia.pdf; Word2Vec - Wikipedia.pdf,4.407,True,,
A05,answerable,answer,Which two approximate training methods reduce the cost of the softmax in word2vec?,Threshold off,Negative sampling and hierarchical softmax.,answered,False,,0.4231,Word2Vec - Wikipedia.pdf; approx-training.pdf; Word2Vec - Wikipedia.pdf; Word2Vec - Wikipedia.pdf; Word2Vec - Wikipedia.pdf; word2vec.pdf; Word2Vec - Wikipedia.pdf; approx-training.pdf; approx-training.pdf; Word2Vec - Wikipedia.pdf,1.723,True,,
A06,answerable,answer,How is tf-idf weighting calculated?,Threshold off,"The provided documents do not contain this information. However, based on the context, it appears that tf-idf weighting is calculated as the product of two statistics:  1. Term frequency (tf): This is the frequency of the term in a given document. 2. Inverse document frequency (idf): This is a measure of how rare or common a term is across all documents in the corpus.  The exact calculation method for tf-idf weighting is not explicitly stated, but it is mentioned that log normalization and double normalization are used to adjust the numerator and denominator of the idf component.",hedged,False,model_judgement,0.2441,tf–idf.pdf; tf–idf.pdf; tf–idf.pdf; tf–idf.pdf; tf–idf.pdf; tf–idf.pdf; tf–idf.pdf; tf–idf.pdf; tf–idf.pdf; tf–idf.pdf,15.827,True,,
A07,answerable,answer,What corpus statistics does GloVe use to learn word vectors?,Threshold off,Word-word co-occurrences within context windows.,answered,False,,0.3503,glove.pdf; similarity-analogy.pdf; glove.pdf; glove.pdf; Word2Vec - Wikipedia.pdf; glove.pdf; glove.pdf; glove.pdf; similarity-analogy.pdf; similarity-analogy.pdf,2.315,True,,
A08,answerable,answer,What two tasks is BERT pretrained on?,Threshold off,Masked language modeling and next sentence prediction.,answered,False,,0.3481,bert.pdf; bert.pdf; bert.pdf; bert.pdf; bert.pdf; bert.pdf; Word2Vec - Wikipedia.pdf; bert.pdf; bert.pdf; bert.pdf,2.214,True,,
A09,answerable,answer,How does the fastText subword model represent a word?,Threshold off,The fastText subword model represents a word as the sum of its subword vectors.,answered,False,,0.2446,subword-embedding.pdf; subword-embedding.pdf; subword-embedding.pdf; subword-embedding.pdf; subword-embedding.pdf; Word2Vec - Wikipedia.pdf; subword-embedding.pdf; subword-embedding.pdf; Word2Vec - Wikipedia.pdf; word2vec.pdf,3.322,True,,
A10,answerable,answer,Why does the transformer need positional encoding?,Threshold off,The provided documents do not contain this information.,refused,True,model_judgement,0.3947,transformer.pdf; transformer.pdf; transformer.pdf; transformer.pdf; bert.pdf; transformer.pdf; transformer.pdf; transformer.pdf; Large language model.pdf; transformer.pdf,2.08,False,,
