question,k_requested,n_chunks,context_chars,retrieve_s,generate_s,total_s,wall_s,elapsed_since_start_s,error,model,block,phase,cold_start_reliable,resident
What is stemming in text normalisation?,1,1,464,0.173,6.776,6.948,6.953,9.1,,llama3.1:8b,0,cold,True,llama3.1:8b
What is lemmatization?,1,1,466,0.013,1.082,1.095,1.113,10.2,,llama3.1:8b,0,warmup,,llama3.1:8b
Explain the Markov assumption.,1,1,453,0.011,0.955,0.967,0.987,11.2,,llama3.1:8b,0,warmup,,llama3.1:8b
What is stemming in text normalisation?,1,1,464,0.014,0.391,0.405,0.407,11.7,,llama3.1:8b,1,steady,,llama3.1:8b
What is lemmatization?,1,1,466,0.012,1.06,1.072,1.087,12.8,,llama3.1:8b,1,steady,,llama3.1:8b
Explain the Markov assumption.,1,1,453,0.008,1.006,1.015,1.036,13.8,,llama3.1:8b,1,steady,,llama3.1:8b
How does TF-IDF weight terms?,1,1,458,0.013,0.458,0.471,0.496,14.3,,llama3.1:8b,1,steady,,llama3.1:8b
What is cosine similarity used for?,1,1,475,0.012,0.544,0.557,0.559,14.9,,llama3.1:8b,1,steady,,llama3.1:8b
What is perplexity?,1,1,117,0.01,0.393,0.404,0.419,15.3,,llama3.1:8b,1,steady,,llama3.1:8b
What is add-one smoothing?,1,1,486,0.01,0.422,0.432,0.447,15.8,,llama3.1:8b,1,steady,,llama3.1:8b
What are stopwords?,1,1,442,0.01,0.614,0.624,0.642,16.4,,llama3.1:8b,1,steady,,llama3.1:8b
What is the difference between types and tokens?,1,1,467,0.012,1.314,1.326,1.328,17.7,,llama3.1:8b,1,steady,,llama3.1:8b
Explain the parallelogram model for analogies.,1,1,435,0.013,1.01,1.023,1.025,18.8,,llama3.1:8b,1,steady,,llama3.1:8b
What assumption makes Naive Bayes naive?,1,1,462,0.012,0.468,0.48,0.483,19.2,,llama3.1:8b,1,steady,,llama3.1:8b
Define precision and recall.,1,1,422,0.011,0.66,0.671,0.673,19.9,,llama3.1:8b,1,steady,,llama3.1:8b
What is a confusion matrix?,1,1,431,0.011,0.9,0.911,0.914,20.8,,llama3.1:8b,1,steady,,llama3.1:8b
What is overfitting?,1,1,489,0.013,0.423,0.436,0.458,21.3,,llama3.1:8b,1,steady,,llama3.1:8b
Explain cross-validation.,1,1,489,0.01,1.391,1.401,1.404,22.7,,llama3.1:8b,1,steady,,llama3.1:8b
What are the three categories of machine learning?,1,1,486,0.012,0.417,0.429,0.442,23.1,,llama3.1:8b,1,steady,,llama3.1:8b
What is a context-free grammar?,1,1,453,0.01,0.699,0.71,0.712,23.8,,llama3.1:8b,1,steady,,llama3.1:8b
What is the CKY algorithm?,1,1,498,0.011,0.461,0.472,0.498,24.3,,llama3.1:8b,1,steady,,llama3.1:8b
What is a text corpus?,1,1,432,0.011,0.434,0.445,0.448,24.8,,llama3.1:8b,1,steady,,llama3.1:8b
Why are natural languages harder to parse than formal languages?,1,1,327,0.012,0.436,0.448,0.451,25.2,,llama3.1:8b,1,steady,,llama3.1:8b
What is stemming in text normalisation?,1,1,464,0.008,0.695,0.702,0.705,56.0,,llama3.1:8b,2,steady,,llama3.1:8b
What is lemmatization?,1,1,466,0.009,1.016,1.026,1.051,57.0,,llama3.1:8b,2,steady,,llama3.1:8b
Explain the Markov assumption.,1,1,453,0.007,0.979,0.986,0.988,58.0,,llama3.1:8b,2,steady,,llama3.1:8b
How does TF-IDF weight terms?,1,1,458,0.008,0.385,0.393,0.417,58.4,,llama3.1:8b,2,steady,,llama3.1:8b
What is cosine similarity used for?,1,1,475,0.01,0.512,0.521,0.524,59.0,,llama3.1:8b,2,steady,,llama3.1:8b
What is perplexity?,1,1,117,0.01,0.366,0.376,0.39,59.3,,llama3.1:8b,2,steady,,llama3.1:8b
What is add-one smoothing?,1,1,486,0.007,0.38,0.387,0.415,59.8,,llama3.1:8b,2,steady,,llama3.1:8b
What are stopwords?,1,1,442,0.008,0.571,0.579,0.581,60.3,,llama3.1:8b,2,steady,,llama3.1:8b
What is the difference between types and tokens?,1,1,467,0.009,1.109,1.118,1.12,61.5,,llama3.1:8b,2,steady,,llama3.1:8b
Explain the parallelogram model for analogies.,1,1,435,0.009,0.958,0.967,0.969,62.4,,llama3.1:8b,2,steady,,llama3.1:8b
What assumption makes Naive Bayes naive?,1,1,462,0.009,0.389,0.399,0.401,62.8,,llama3.1:8b,2,steady,,llama3.1:8b
Define precision and recall.,1,1,422,0.007,0.634,0.641,0.666,63.5,,llama3.1:8b,2,steady,,llama3.1:8b
What is a confusion matrix?,1,1,431,0.008,0.856,0.864,0.879,64.4,,llama3.1:8b,2,steady,,llama3.1:8b
What is overfitting?,1,1,489,0.014,0.434,0.448,0.45,64.8,,llama3.1:8b,2,steady,,llama3.1:8b
