qid,category,expected,question,nearest_distance
A01,answerable,answer,What does the Viterbi algorithm compute for a hidden Markov model?,0.2248
A02,answerable,answer,What normal form must a grammar be in before the CYK algorithm can be applied?,0.2156
A03,answerable,answer,Which researchers is the CYK algorithm named after?,0.4099
A04,answerable,answer,What are the two model architectures used by Word2Vec?,0.3009
A05,answerable,answer,Which two approximate training methods reduce the cost of the softmax in word2vec?,0.4231
A06,answerable,answer,How is tf-idf weighting calculated?,0.2441
A07,answerable,answer,What corpus statistics does GloVe use to learn word vectors?,0.3503
A08,answerable,answer,What two tasks is BERT pretrained on?,0.3481
A09,answerable,answer,How does the fastText subword model represent a word?,0.2446
A10,answerable,answer,Why does the transformer need positional encoding?,0.3947
A11,answerable,answer,How is the accuracy of speech recognition systems usually measured?,0.2864
A12,answerable,answer,What dataset is used for sentiment analysis in the Dive into Deep Learning chapter?,0.3741
A13,answerable,answer,When was GPT-4 released?,0.2871
A14,answerable,answer,What is retrieval-augmented generation?,0.3211
A15,answerable,answer,What is perplexity and how is it used to evaluate a language model?,0.1612
B01,out_of_corpus,refuse,What is the capital of Brazil?,0.7934
B02,out_of_corpus,refuse,Who won the 2018 FIFA World Cup?,0.7381
B03,out_of_corpus,refuse,What is the boiling point of water in Fahrenheit?,0.6363
B04,out_of_corpus,refuse,How tall is Mount Kilimanjaro?,0.7964
B05,out_of_corpus,refuse,What year was the Eiffel Tower completed?,0.7863
B06,out_of_corpus,refuse,What is the currency of Japan?,0.7847
B07,out_of_corpus,refuse,Who wrote the novel Wuthering Heights?,0.739
B08,out_of_corpus,refuse,What is the chemical symbol for tungsten?,0.7181
B09,out_of_corpus,refuse,How many time zones does Russia have?,0.6824
B10,out_of_corpus,refuse,What is the population of Singapore?,0.7691
B11,out_of_corpus,refuse,Who is the chief executive of Google?,0.5359
B12,out_of_corpus,refuse,What is the world record for the men's 100 metre sprint?,0.7149
C01,related_unanswerable,refuse,Which Python library should I use to implement a CYK parser?,0.3414
C02,related_unanswerable,refuse,What learning rate should I use when training a word2vec model?,0.3785
C03,related_unanswerable,refuse,What word error rate does OpenAI's Whisper model achieve on LibriSpeech?,0.4662
