qid,question,condition,answer,outcome,refused,refusal_reason,nearest_distance,sources,total_s,behaved_correctly,answer_correct,error,category,expected
A01,What is the difference between an intrinsic and an extrinsic evaluation of a language model?,Threshold off,"According to the context, the main difference between an intrinsic and an extrinsic evaluation of a language model is:  * An intrinsic evaluation measures the quality of a model independent of any application. * An extrinsic evaluation embeds the language model in an application and measures how much it improves the performance of that application.  In other words, intrinsic evaluation assesses the model's internal quality, while extrinsic evaluation assesses its practical usefulness by measuring its impact on a specific task or application.",answered,False,,0.3176,"course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf",6.14,True,,,answerable,answer
A02,How does the Markov assumption simplify the task of language modelling?,Threshold off,"The provided context indicates that the Markov assumption simplifies the task of language modeling by assuming that ""the probability of a word depends only on the previous word"", thus allowing for an approximation of P(wn|w1:n−1)≈ P(wn|wn−1). This assumption is made in order to make some incorrect but convenient simplifying assumptions.",answered,False,,0.3033,"course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf",4.963,True,,,answerable,answer
A03,What is the difference between word types and word tokens in a corpus?,Threshold off,"According to the context, there are two main differences:  1. **Count**: Word types refer to the number of distinct words (vocabulary size |V|), while word tokens refer to the total number of running words. 2. **Definition**: A type is a class of all tokens containing the same character sequence, whereas a token is an instance of a sequence of characters in a particular document.  In other words, types are unique words, and tokens are instances of those words in a corpus.",answered,False,,0.2416,"course-reading-wk4.1.pdf; course-reading-wk3.1.pdf; course-reading-wk3.2.pdf",6.507,True,,,answerable,answer
A04,What is the Naive Bayes assumption and how does it affect probability calculations?,Threshold off,"The provided context does not directly mention the ""Naive Bayes assumption"" explicitly, but it implies that the Naive Bayes model assumes independence between features (words in this case) to make class conditional probability calculations. This is evident from the equation P(s|c) = ∏i∈positionsP(wi|c), which calculates the probability of a sentence given a class as the product of the probabilities of each word in the sentence given the class.  The context does not elaborate on what this assumption means or how it affects calculations beyond stating that it allows for the assignment of probabilities to words and sentences.",answered,False,,0.3847,"course-reading-wk2.2.pdf; course-reading-wk2.2.pdf; course-reading-wk2.2.pdf",7.907,True,,,answerable,answer
A05,In a confusion matrix how are precision and recall calculated?,Threshold off,"The provided documents do not contain this information. However, based on the context, it appears that the calculations of precision and recall involve summing certain values from the confusion matrix.",hedged,False,model_judgement,0.31,"course-reading-wk2.2.pdf; course-reading-wk2.2.pdf; course-reading-wk2.2.pdf",2.906,True,,,answerable,answer
A07,What are stopwords and why are they removed during text preprocessing?,Threshold off,"Stopwords are very common words in a language (such as ""the"", ""and"", ""of"", etc.) that are typically removed during text preprocessing because they don't contribute significantly to the meaning of the text, and using a stop word list doesn't improve performance in most text classification applications.",answered,False,,0.3629,"course-reading-wk2.2.pdf; course-reading-wk2.2.pdf; course-reading-wk3.1.pdf",4.151,True,,,answerable,answer
A08,Describe the parallelogram model used in word embeddings to solve analogies.,Threshold off,"The provided documents do not contain this information.   However, since the context mentions the ""parallelogram model"" by Rumelhart and Abrahamson (1973) for solving simple analogy problems of the form a is to b as a* is to what?, I can infer that it's likely related to a mathematical or geometric approach to modeling analogies in word embeddings. Unfortunately, no specific details about this model are provided in the context.",hedged,False,model_judgement,0.2643,"course-reading-wk8.1.pdf; course-reading-wk8.2.pdf; course-reading-wk8.4.pdf",5.922,True,,,answerable,answer
A09,What is perplexity and how does it relate to a language's branching factor?,Threshold off,"Perplexity is related to the information-theoretic notion of entropy (Section 3.8), and it measures how well a language model predicts words in a test set. The perplexity of a language is inversely related to the likelihood of the test sequence according to the model, meaning that a lower perplexity indicates a better predictor of words in the test set.  Perplexity is also closely related to the weighted branching factor of a language (which is still 10 in this case), but not directly with its unweighted branching factor. The perplexity or weighted branching factor is smaller when considering different language models and a given text, indicating that it takes into account both the text and the language model in calculation.",answered,False,,0.2973,"course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf",9.036,True,,,answerable,answer
A10,What is the purpose of smoothing in n-gram models?,Threshold off,The provided documents do not contain this information.,refused,True,model_judgement,0.325,"course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf",1.317,False,,,answerable,answer
A11,What is the difference between stemming and lemmatization?,Threshold off,"The provided context does not directly answer this question, but it describes some of the key differences. According to the context, one key difference is that lemmatization commonly only collapses the different inflectional forms of a lemma, whereas stemming most commonly collapses derivationally related words.  However, another main point mentioned is that lemmatization would attempt to return either see or saw depending on whether the use of the token was as a verb or a noun (in contrast to just returning 's' like stemming).   A more thorough explanation of the difference between stemming and lemmatization can be inferred from this context, but an explicit answer is not provided.",answered,False,,0.1792,"course-reading-wk3.2.pdf; course-reading-wk3.2.pdf; course-reading-wk4.1.pdf",8.372,True,,,answerable,answer
A13,Who first implemented the dynamic programming parser behind the CKY algorithm?,Threshold off,"John Cocke in 1960, according to Martin Kay's personal communication and later work by Younger (1967), Kasami (1965).",answered,False,,0.2588,"course-reading-wk7.2.pdf; course-reading-wk4.1.pdf; course-reading-wk7.2.pdf",2.748,True,,,answerable,answer
A14,What perplexity did the trigram model achieve in the worked example?,Threshold off,The provided documents do not contain this information.,refused,True,model_judgement,0.4799,"course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf",1.364,False,,,answerable,answer
B01,What is the capital of Brazil?,Threshold off,The provided documents do not contain this information.,refused,True,model_judgement,0.6208,"course-reading-wk8.pdf; course-reading-wk4.2.pdf; course-reading-wk6.1.pdf",1.515,True,,,out_of_corpus,refuse
B02,Who won the 2018 FIFA World Cup?,Threshold off,The provided documents do not contain this information.,refused,True,model_judgement,0.6328,"course-reading-wk8.pdf; course-reading-wk6.2.pdf; course-reading-wk6.2.pdf",1.589,True,,,out_of_corpus,refuse
B03,What is the boiling point of water in Fahrenheit?,Threshold off,The provided documents do not contain this information.,refused,True,model_judgement,0.7144,course-reading-wk8.pdf; course-reading-wk8.pdf; course-reading-wk8.pdf,1.834,True,,,out_of_corpus,refuse
B04,How tall is Mount Kilimanjaro?,Threshold off,The provided documents do not contain this information.,refused,True,model_judgement,0.7434,course-reading-wk5.pdf; course-reading-wk2.1.pdf; course-reading-wk2.1.pdf,1.736,True,,,out_of_corpus,refuse
B05,What year was the Eiffel Tower completed?,Threshold off,The provided documents do not contain this information.,refused,True,model_judgement,0.6761,"course-reading-wk7.2.pdf; course-reading-wk8.pdf; course-reading-wk5.pdf",1.713,True,,,out_of_corpus,refuse
B06,What is the currency of Japan?,Threshold off,The provided documents do not contain this information.,refused,True,model_judgement,0.5915,"course-reading-wk3.2.pdf; course-reading-wk4.1.pdf; course-reading-wk6.1.pdf",1.881,True,,,out_of_corpus,refuse
B07,Who wrote the novel Wuthering Heights?,Threshold off,The provided documents do not contain this information.,refused,True,model_judgement,0.6593,course-reading-wk3.1.pdf; course-reading-wk2.1.pdf; course-reading-wk2.1.pdf,1.7,True,,,out_of_corpus,refuse
B08,What is the chemical symbol for tungsten?,Threshold off,The provided documents do not contain this information.,refused,True,model_judgement,0.7068,"course-reading-wk8.pdf; course-reading-wk6.2.pdf; course-reading-wk8.pdf",2.509,True,,,out_of_corpus,refuse
B09,How many time zones does Russia have?,Threshold off,The provided documents do not contain this information.,refused,True,model_judgement,0.6543,course-reading-wk8.pdf; course-reading-wk5.pdf; course-reading-wk5.pdf,2.031,True,,,out_of_corpus,refuse
B10,What is the population of Singapore?,Threshold off,The provided documents do not contain this information.,refused,True,model_judgement,0.7008,course-reading-wk8.pdf; course-reading-wk2.1.pdf; course-reading-wk2.1.pdf,1.418,True,,,out_of_corpus,refuse
B11,Who is the chief executive of OpenAI?,Threshold off,The provided documents do not contain this information.,refused,True,model_judgement,0.76,"course-reading-wk7.1.pdf; Artificial Intelligence.txt; course-reading-wk6.1.pdf",1.686,True,,,out_of_corpus,refuse
B12,What is the world record for the men's 100 metre sprint?,Threshold off,The provided documents do not contain this information.,refused,True,model_judgement,0.7033,course-reading-wk5.pdf; course-reading-wk5.pdf; course-reading-wk5.pdf,1.75,True,,,out_of_corpus,refuse
A15,How is TF-IDF weighting calculated?,Threshold off,"The provided context states that the TF-IDF weighted value wt,d for word t in document d combines term frequency (tft,d) with inverse document frequency (idf) as follows:  wt,d = tft,d × idf^t (Eq. 6.14)  However, it does not specify how to calculate the individual components, such as tft,d or idf^t.  To be more specific, the context mentions that tft,d is defined by either Eq. 6.11 or Eq. 6.12, but these equations are not provided in the given text. Similarly, the equation for idf (Eq. 6.13) is mentioned, but its exact formula is not specified.  Therefore, I will provide a general answer that summarizes the context:  TF-IDF weighting combines term frequency and inverse document frequency to calculate a weighted value. The specific equations used to calculate these components are not provided in the given text.",answered,False,,0.301,"course-reading-wk8.1.pdf; course-reading-wk8.3.pdf; course-reading-wk8.4.pdf",13.493,True,,,answerable,answer
A16,Why is cosine similarity preferred over the raw dot product for comparing word embeddings?,Threshold off,The provided documents do not contain this information.,refused,True,model_judgement,0.2821,"course-reading-wk8.1.pdf; course-reading-wk8.3.pdf; course-reading-wk8.4.pdf",1.359,False,,,answerable,answer
C03,How many parameters does GPT-4 have?,Threshold off,The provided documents do not contain this information.,refused,True,model_judgement,0.6964,"course-reading-wk2.1.pdf; course-reading-wk2.1.pdf; course-reading-wk4.1.pdf",1.812,True,,,related_unanswerable,refuse
C04,Which Python library should I use to implement a CKY parser?,Threshold off,The provided documents do not contain this information.,refused,True,model_judgement,0.4668,"course-reading-wk7.2.pdf; course-reading-wk7.2.pdf; course-reading-wk7.2.pdf",1.365,True,,,related_unanswerable,refuse
C05,What learning rate should I use when training a deep learning language model?,Threshold off,The provided documents do not contain this information.,refused,True,model_judgement,0.4919,"course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf",1.284,True,,,related_unanswerable,refuse
A17,What is positive pointwise mutual information and how is it computed?,Threshold off,The provided documents do not contain this information.,refused,True,model_judgement,0.2601,"course-reading-wk6.2.pdf; course-reading-wk8.1.pdf; course-reading-wk8.4.pdf",1.649,False,,,answerable,answer
A01,What is the difference between an intrinsic and an extrinsic evaluation of a language model?,Threshold on,"An intrinsic evaluation measures the quality of a language model independent of any application, whereas an extrinsic evaluation embeds the language model in an application and measures how much it improves the performance of that application. In other words, an intrinsic evaluation assesses the model's quality on its own terms, while an extrinsic evaluation evaluates its effectiveness in real-world tasks or applications.",answered,False,,0.3176,"course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf",4.993,True,,,answerable,answer
A02,How does the Markov assumption simplify the task of language modelling?,Threshold on,The provided documents do not contain this information.,refused,True,model_judgement,0.3033,"course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf",1.802,False,,,answerable,answer
A03,What is the difference between word types and word tokens in a corpus?,Threshold on,"According to the context, the difference between word types and word tokens in a corpus is as follows:  Word types refer to the number of distinct words (or vocabulary size) in a corpus, denoted by |V|.  Word tokens, on the other hand, refer to the total number of running words in a corpus.",answered,False,,0.2416,"course-reading-wk4.1.pdf; course-reading-wk3.1.pdf; course-reading-wk3.2.pdf",4.414,True,,,answerable,answer
A04,What is the Naive Bayes assumption and how does it affect probability calculations?,Threshold on,The provided documents do not contain this information.,refused,True,model_judgement,0.3847,"course-reading-wk2.2.pdf; course-reading-wk2.2.pdf; course-reading-wk2.2.pdf",1.367,False,,,answerable,answer
A05,In a confusion matrix how are precision and recall calculated?,Threshold on,The provided documents do not contain this information.,refused,True,model_judgement,0.31,"course-reading-wk2.2.pdf; course-reading-wk2.2.pdf; course-reading-wk2.2.pdf",1.351,False,,,answerable,answer
