qid,question,condition,answer,outcome,refused,refusal_reason,nearest_distance,sources,total_s,behaved_correctly,answer_correct,error,category,expected
A01,What is the difference between an intrinsic and an extrinsic evaluation of a language model?,Threshold off,"An intrinsic evaluation measures the quality of a model independent of any application, whereas an extrinsic evaluation embeds the model in an application and measures how much it improves performance. Intrinsic evaluation is useful for quickly evaluating potential improvements, but extrinsic evaluation is necessary to know if a particular improvement will help with the task at hand.",answered,False,,0.3176,"course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk8.1.pdf; course-reading-wk8.2.pdf; course-reading-wk8.3.pdf; course-reading-wk8.4.pdf; course-reading-wk8.2.pdf; course-reading-wk8.3.pdf; course-reading-wk8.4.pdf",9.7,True,,,answerable,answer
A02,How does the Markov assumption simplify the task of language modelling?,Threshold off,"The Markov assumption simplifies the task of language modeling by assuming that the probability of a word depends only on the previous word, rather than considering the entire sequence of words. This allows for the approximation P(wn|w1:n−1)≈ P(wn|wn−1), making it easier to compute probabilities and predict future words in a sentence or sequence.",answered,False,,0.3033,"course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk8.1.pdf; course-reading-wk8.2.pdf; course-reading-wk8.3.pdf; course-reading-wk8.4.pdf",11.066,True,,,answerable,answer
A03,What is the difference between word types and word tokens in a corpus?,Threshold off,"According to the context, the difference between word types and word tokens in a corpus is as follows:  * Word types (or ""types"") refer to the number of distinct words or unique items of vocabulary in a corpus. It's the count of different forms or spellings of words, regardless of their occurrences. * Word tokens (or ""tokens"") refer to the total number of running words in a corpus, including repetitions.  In other words, word types are like the unique words in a dictionary, while word tokens are like the individual instances of those words in a text.",answered,False,,0.2416,"course-reading-wk4.1.pdf; course-reading-wk3.1.pdf; course-reading-wk3.2.pdf; course-reading-wk2.1.pdf; course-reading-wk2.1.pdf; course-reading-wk4.1.pdf; course-reading-wk3.2.pdf; course-reading-wk4.1.pdf; course-reading-wk2.1.pdf; course-reading-wk2.1.pdf",15.334,True,,,answerable,answer
A04,What is the Naive Bayes assumption and how does it affect probability calculations?,Threshold off,"The Naive Bayes assumption is the conditional independence assumption that the probabilities P(fi|c) are independent given the class c. This means that the occurrence of one feature (word) does not depend on the occurrence of another feature, given the class.  According to this assumption, the probability of a set of features can be calculated by multiplying the individual probabilities of each feature:  P(f1, f2, ...., fn|c) = P(f1|c)· P(f2|c)· ...· P(fn|c)  This simplifies the calculation of the class posterior probability and allows for efficient computation.",answered,False,,0.3847,"course-reading-wk2.2.pdf; course-reading-wk2.2.pdf; course-reading-wk2.2.pdf; course-reading-wk2.2.pdf; course-reading-wk2.2.pdf; course-reading-wk2.2.pdf; course-reading-wk2.2.pdf; course-reading-wk2.2.pdf; course-reading-wk2.2.pdf; course-reading-wk2.2.pdf",21.512,True,,,answerable,answer
A05,In a confusion matrix how are precision and recall calculated?,Threshold off,"Precision is defined as true positives divided by the sum of true positives and false positives (Precision = true positives / (true positives + false positives)). Recall measures the percentage of items actually present in the input that were correctly identified by the system, and is defined as true positives divided by the sum of true positives and false negatives (Recall = true positives / (true positives + false negatives)).",answered,False,,0.31,"course-reading-wk2.2.pdf; course-reading-wk2.2.pdf; course-reading-wk2.2.pdf; course-reading-wk2.2.pdf; course-reading-wk2.2.pdf; course-reading-wk2.2.pdf; course-reading-wk2.2.pdf; course-reading-wk2.2.pdf; course-reading-wk2.2.pdf; course-reading-wk2.2.pdf",13.128,True,,,answerable,answer
A07,What are stopwords and why are they removed during text preprocessing?,Threshold off,"According to the context, stopwords are extremely common words in a language that would appear to be of little value in helping select documents matching a user's need. They are typically removed from the vocabulary because using a stop word list doesn't improve performance in most text classification applications.  The provided documents do not contain this information.",refused,True,model_judgement,0.3629,"course-reading-wk2.2.pdf; course-reading-wk2.2.pdf; course-reading-wk3.1.pdf; course-reading-wk3.2.pdf; course-reading-wk4.1.pdf; course-reading-wk3.2.pdf; course-reading-wk3.2.pdf; course-reading-wk3.2.pdf; course-reading-wk6.2.pdf; course-reading-wk6.2.pdf",10.609,False,,,answerable,answer
A08,Describe the parallelogram model used in word embeddings to solve analogies.,Threshold off,"The provided documents do not contain this information.  However, based on the context, it appears that the parallelogram method is a technique for solving analogy problems using vector space models of cognition. The method involves performing arithmetic operations (such as addition and subtraction) on vectors representing words in order to find a relationship between them. For example, the expression # »king−# »man + # »woman results in a vector close to # »queen.  It is worth noting that the text does not provide a detailed description of how the parallelogram model works or how it is used to solve analogies. It only mentions that the method was proposed by Rumelhart and Abrahamson (1973) and has been successful with word2vec or GloVe vectors, but also notes its limitations in modeling certain types of relationships.",hedged,False,model_judgement,0.2643,"course-reading-wk8.1.pdf; course-reading-wk8.2.pdf; course-reading-wk8.3.pdf; course-reading-wk8.4.pdf; course-reading-wk8.1.pdf; course-reading-wk8.2.pdf; course-reading-wk8.3.pdf; course-reading-wk8.4.pdf; course-reading-wk8.1.pdf; course-reading-wk8.4.pdf",27.42,True,,,answerable,answer
A09,What is perplexity and how does it relate to a language's branching factor?,Threshold off,"Perplexity is a measure used to evaluate n-gram models on a test set. It is a normalized version of the probability of the test set, with lower perplexity indicating that a language model is a better predictor of the words in the test set.  The perplexity of a language is related to its branching factor, which is the number of possible next words that can follow any word. Perplexity is inversely proportional to the likelihood of the test sequence according to the model, so a lower perplexity indicates that a language model is a better predictor of the words in the test set.  In other words, if a language has a high branching factor (many possible next words), its perplexity will be higher, indicating that the language model is less accurate. Conversely, if a language has a low branching factor (fewer possible next words), its perplexity will be lower, indicating that the language model is more accurate.  For example, in the case of recognizing digits, where each digit occurs with equal probability, the perplexity of this mini-language is 10, which is equal to its branching factor.",answered,False,,0.2973,"course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.2.pdf",34.257,True,,,answerable,answer
A10,What is the purpose of smoothing in n-gram models?,Threshold off,"To save some probability mass for the unseen n-grams, so that we don't have to assign zero probability to these events. This is necessary because language is creative and any particular context might have never occurred before!",answered,False,,0.325,"course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf",8.033,True,,,answerable,answer
A11,What is the difference between stemming and lemmatization?,Threshold off,"The two may also differ in that stemming most commonly collapses derivationally related words, whereas lemmatization commonly only collapses the different inflectional forms of a lemma. Additionally, stemming usually refers to a simpler version of lemmatization in which we mainly just strip suffixes from the end of the word, whereas lemmatization properly uses a vocabulary and morphological analysis of words to remove inflectional endings only and return the base or dictionary form of a word, known as the lemma.",answered,False,,0.1792,"course-reading-wk3.2.pdf; course-reading-wk3.2.pdf; course-reading-wk4.1.pdf; course-reading-wk4.1.pdf; course-reading-wk3.2.pdf; course-reading-wk4.1.pdf; course-reading-wk3.1.pdf; course-reading-wk3.2.pdf; course-reading-wk4.1.pdf; course-reading-wk4.1.pdf",17.551,True,,,answerable,answer
A13,Who first implemented the dynamic programming parser behind the CKY algorithm?,Threshold off,John Cocke in 1960.,answered,False,,0.2588,"course-reading-wk7.2.pdf; course-reading-wk4.1.pdf; course-reading-wk7.2.pdf; course-reading-wk7.2.pdf; course-reading-wk7.2.pdf; course-reading-wk7.2.pdf; course-reading-wk7.2.pdf; course-reading-wk7.2.pdf; course-reading-wk7.2.pdf; course-reading-wk7.2.pdf",2.709,True,,,answerable,answer
A14,What perplexity did the trigram model achieve in the worked example?,Threshold off,The provided documents do not contain this information.,refused,True,model_judgement,0.4799,"course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk8.1.pdf; course-reading-wk8.2.pdf; course-reading-wk8.3.pdf; course-reading-wk8.4.pdf; course-reading-wk8.3.pdf; course-reading-wk8.4.pdf",3.161,False,,,answerable,answer
A15,How is TF-IDF weighting calculated?,Threshold off,"The tf-idf weighted value wt,d for word t in document d thus combines termtf-idf frequency tft,d (deﬁned either by Eq. 6.11 or by Eq. 6.12) with idf from Eq. 6.13: wt,d = tft,d× idft (6.14)  This is the formula for calculating TF-IDF weighting, where:  * tft,d is the term frequency (tf-idf frequency) * idf is the inverse document frequency * wt,d is the tf-idf weighted value",answered,False,,0.301,"course-reading-wk8.1.pdf; course-reading-wk8.2.pdf; course-reading-wk8.3.pdf; course-reading-wk8.4.pdf; course-reading-wk8.1.pdf; course-reading-wk8.2.pdf; course-reading-wk8.3.pdf; course-reading-wk8.4.pdf; course-reading-wk8.1.pdf; course-reading-wk8.4.pdf",20.621,True,,,answerable,answer
