category,question,rag,answer,sources
A,What percentage is the Final Report worth?,on,The Final Report contributes 60%.,University of London Final Project.txt; Machine Learning.txt; University of London Final Project.txt
A,What percentage is the Final Report worth?,off,"However, I need more context about what you're referring to. There are many reports and assessments where a final report might be part of the process. Could you please specify which type of ""Final Report"" you're asking about (e.g., academic project, business proposal, research paper, etc.)? That way, I can provide a more accurate answer regarding its importance or weightage in terms of percentage.",
A,Which architecture did Google introduce in 2017?,on,The Transformer architecture was introduced by researchers at Google in 2017.,Artificial Intelligence.txt; University of London Final Project.txt; Artificial Intelligence.txt
A,Which architecture did Google introduce in 2017?,off,"In 2017, Google introduced a new architecture called **BERT (Bidirectional Encoder Representations from Transformers)**.  BERT is a pre-trained language model that uses a multi-layer bidirectional transformer encoder to jointly predict all tasks and tokens in the input sequence simultaneously. It was developed by Google's Natural Language Processing team and published in a research paper in 2018, but it was introduced publicly in 2017.  BERT has become one of the most influential architectures in NLP (Natural Language Processing) and is widely used in various applications, including language translation, question answering, text classification, and more.",
A,What metrics are used to evaluate machine learning model performance?,on,"Model performance is often evaluated using metrics such as accuracy, precision, recall, and F1-score.",Machine Learning.txt; Machine Learning.txt; University of London Final Project.txt
A,What metrics are used to evaluate machine learning model performance?,off,"Evaluating the performance of a machine learning (ML) model is crucial to ensure it's accurate, reliable, and effective in solving the problem at hand. Here are some common metrics used to evaluate ML model performance:  **Classification Metrics**  1. **Accuracy**: The proportion of correctly classified instances out of all instances. 2. **Precision**: The ratio of true positives (correctly predicted positive class) to the sum of true positives and false positives (incorrectly predicted positive class). 3. **Recall**: The ratio of true positives to the sum of true positives and false negatives (missed instances of the positive class). 4. **F1-score**: The harmonic mean of precision and recall. 5. **Area Under the Receiver Operating Characteristic Curve (AUC-ROC)**: A plot that displays the trade-off between true positives and false positives.  **Regression Metrics**  1. **Mean Squared Error (MSE)**: The average squared difference between predicted values and actual values. 2. **Mean Absolute Error (MAE)**: The average absolute difference between predicted values and actual values. 3. **Root Mean Squared Percentage Error (RMSPE)**: The square root of the average squared percentage difference between predicted values and actual values. 4. **Coefficient of Determination (R-squared)**: Measures the proportion of variance in the dependent variable that's explained by the independent variables.  **Additional Metrics**  1. **Precision-Recall Curve**: A plot that displays precision at different recall levels, useful for imbalanced datasets. 2. **Confusion Matrix**: A table that summarizes the predictions against actual labels, showing true positives, false positives, true negatives, and false negatives. 3. **Classification Error Rate**: The proportion of incorrectly classified instances out of all instances.  **Metrics for Time Series Data**  1. **Mean Absolute Percentage Error (MAPE)**: Measures the average absolute percentage difference between predicted values and actual values. 2. **Root Mean Squared Percentage Error (RMSPE)**: Measures the square root of the average squared percentage difference between predicted values and actual values. 3. **Symmetric Mean Absolute Percentage Error (SMAPE)**: A variation of MAPE that takes into account both positive and negative errors.  **Model Interpretability Metrics**  1. **Feature Importance**: Measures the relative importance of each feature in predicting the target variable. 2. **Partial Dependence Plots**: Visualizations that show the relationship between a specific feature and the predicted output, while controlling for other features. 3. **SHAP Values (Shapley Additive Explanations)**: Provides a local explanation of how individual predictions are made by assigning each input a contribution to the prediction.  These metrics help evaluate various aspects of an ML model's performance, including accuracy, precision, recall, and interpretability. The choice of metric depends on the specific problem, data characteristics, and evaluation goals.",
A,Who was the first person to walk on the Moon?,on,Neil Armstrong.,Space Exploration.txt; Artificial Intelligence.txt; Artificial Intelligence.txt
A,Who was the first person to walk on the Moon?,off,"The first people to walk on the Moon were Neil Armstrong and Edwin ""Buzz"" Aldrin. They landed on July 20, 1969 as part of the Apollo 11 mission.  Neil Armstrong stepped out of the lunar module Eagle and onto the Moon's surface at 2:56 UTC (Coordinated Universal Time) on July 21, famously declaring:  ""That's one small step for man, one giant leap for mankind.""  Buzz Aldrin joined him shortly afterwards.",
B,What is the capital of Brazil?,on,The provided documents do not contain this information.,University of London Final Project.txt; University of London Final Project.txt; Machine Learning.txt
B,What is the capital of Brazil?,off,The capital of Brazil is Brasília.,
