qid,category,expected,question,condition,answer,outcome,refused,refusal_reason,nearest_distance,sources,total_s,behaved_correctly,answer_correct,error
A01,answerable,answer,What is the difference between an intrinsic and an extrinsic evaluation of a language model?,k=1,"The provided context does not explicitly mention the difference between an intrinsic and an extrinsic evaluation of a language model. However, it mentions that ""an intrinsic evaluation metric is one that measures the quality of a model independent of any application"", which suggests that an extrinsic evaluation would involve measuring the quality of the model based on its performance in a specific application or task.  A possible inference is that an intrinsic evaluation is more focused on the internal properties and behavior of the language model, whereas an extrinsic evaluation assesses the model's performance in real-world tasks. However, this distinction is not explicitly stated in the provided context.",answered,False,,0.3176,"course-reading-wk6.1.pdf",7.642,True,,
A02,answerable,answer,How does the Markov assumption simplify the task of language modelling?,k=1,The provided documents do not contain this information.,refused,True,model_judgement,0.3033,"course-reading-wk6.1.pdf",1.32,False,,
A03,answerable,answer,What is the difference between word types and word tokens in a corpus?,k=1,"Types are the number of distinct words (word type) in a corpus; if the set of words in the vocabulary is V, the number of types is the vocabulary size |V|. Tokens are the total number N of running words.",answered,False,,0.2416,"course-reading-wk4.1.pdf",3.404,True,,
A04,answerable,answer,What is the Naive Bayes assumption and how does it affect probability calculations?,k=1,"The provided context does not explicitly state what the Naive Bayes assumption is, but based on the information, we can infer that one of the assumptions is independence between features, as it treats each word's probability as independent of other words.  However, since the question also asks how this assumption affects probability calculations and the specific assumption itself is not mentioned in the context, I will provide an answer with a general description of the Naive Bayes assumption.  The Naive Bayes model assumes that features are conditionally independent given the class. This means it treats each word's probability as independent of other words, allowing for the calculation of sentence probabilities by multiplying individual word probabilities.  This assumption is important in the context, as it enables the computation of P(s|c) as a product of word probabilities (equation 4.15).",answered,False,,0.3847,"course-reading-wk2.2.pdf",10.179,True,,
A05,answerable,answer,In a confusion matrix how are precision and recall calculated?,k=1,The provided documents do not contain this information.,refused,True,model_judgement,0.31,"course-reading-wk2.2.pdf",1.334,False,,
A07,answerable,answer,What are stopwords and why are they removed during text preprocessing?,k=1,"In text classification applications, stop words refer to frequently occurring words like 'the', 'and', etc. that do not carry much significance in determining the class of a document. They are removed from both training and test documents because their presence does not improve performance. The removal is done by treating them as if they never occurred.",answered,False,,0.3629,"course-reading-wk2.2.pdf",4.424,True,,
A08,answerable,answer,Describe the parallelogram model used in word embeddings to solve analogies.,k=1,"The parallelogram model, first proposed by Rumelhart and Abrahamson (1973), is an early vector space model of cognition that enables solving simple analogy problems. However, there is no detailed description provided in the given context about how this model specifically works with word embeddings to solve analogies.  A description of a specific technique or implementation for using the parallelogram model with word embeddings is not present, but it suggests that word embeddings can capture relational meanings through their ability to represent analogical relationships.",answered,False,,0.2643,"course-reading-wk8.1.pdf",6.47,True,,
A09,answerable,answer,What is perplexity and how does it relate to a language's branching factor?,k=1,"Perplexity is closely related to the information-theoretic notion of entropy (Section 3.8). It is smaller when the weighted branching factor (also known as perplexity or weighted branching factor) is smaller, even if the branching factor remains the same (10 in this case).",answered,False,,0.2973,"course-reading-wk6.1.pdf",4.062,True,,
A10,answerable,answer,What is the purpose of smoothing in n-gram models?,k=1,"The provided context does not explicitly state the purpose of smoothing in n-gram models. However, it implies that one of the purposes of smoothing is to ""create a probability distribution"" through discounting for both backoff and interpolation methods.",answered,False,,0.325,"course-reading-wk6.1.pdf",3.447,True,,
A11,answerable,answer,What is the difference between stemming and lemmatization?,k=1,The provided documents do not contain this information.,refused,True,model_judgement,0.1792,"course-reading-wk3.2.pdf",1.302,False,,
A13,answerable,answer,Who first implemented the dynamic programming parser behind the CKY algorithm?,k=1,"John Cocke. According to Martin Kay's personal communication and referenced in Kay (1967), Younger (1967), and Kasami (1965).",answered,False,,0.2588,"course-reading-wk7.2.pdf",2.59,True,,
A14,answerable,answer,What perplexity did the trigram model achieve in the worked example?,k=1,The provided documents do not contain this information.,refused,True,model_judgement,0.4799,"course-reading-wk6.1.pdf",1.284,False,,
B01,out_of_corpus,refuse,What is the capital of Brazil?,k=1,The provided documents do not contain this information.,refused,True,retrieval_distance,0.6208,,0.033,True,n/a,
B02,out_of_corpus,refuse,Who won the 2018 FIFA World Cup?,k=1,The provided documents do not contain this information.,refused,True,retrieval_distance,0.6328,,0.032,True,n/a,
B03,out_of_corpus,refuse,What is the boiling point of water in Fahrenheit?,k=1,The provided documents do not contain this information.,refused,True,retrieval_distance,0.7144,,0.03,True,n/a,
B04,out_of_corpus,refuse,How tall is Mount Kilimanjaro?,k=1,The provided documents do not contain this information.,refused,True,retrieval_distance,0.7434,,0.029,True,n/a,
B05,out_of_corpus,refuse,What year was the Eiffel Tower completed?,k=1,The provided documents do not contain this information.,refused,True,retrieval_distance,0.6761,,0.024,True,n/a,
B06,out_of_corpus,refuse,What is the currency of Japan?,k=1,The provided documents do not contain this information.,refused,True,retrieval_distance,0.5915,,0.025,True,n/a,
B07,out_of_corpus,refuse,Who wrote the novel Wuthering Heights?,k=1,The provided documents do not contain this information.,refused,True,retrieval_distance,0.6593,,0.025,True,n/a,
B08,out_of_corpus,refuse,What is the chemical symbol for tungsten?,k=1,The provided documents do not contain this information.,refused,True,retrieval_distance,0.7068,,0.023,True,n/a,
B09,out_of_corpus,refuse,How many time zones does Russia have?,k=1,The provided documents do not contain this information.,refused,True,retrieval_distance,0.6543,,0.023,True,n/a,
B10,out_of_corpus,refuse,What is the population of Singapore?,k=1,The provided documents do not contain this information.,refused,True,retrieval_distance,0.7008,,0.024,True,n/a,
B11,out_of_corpus,refuse,Who is the chief executive of OpenAI?,k=1,The provided documents do not contain this information.,refused,True,retrieval_distance,0.76,,0.025,True,n/a,
B12,out_of_corpus,refuse,What is the world record for the men's 100 metre sprint?,k=1,The provided documents do not contain this information.,refused,True,retrieval_distance,0.7033,,0.025,True,n/a,
C01,related_unanswerable,refuse,How is TF-IDF weighting calculated?,k=1,"The tf-idf weighted value wt,d for word t in document d thus combines term frequency tf with idf from Eq. 6.13: wt,d = tft,d× idft (6.14)",answered,False,,0.301,"course-reading-wk8.4.pdf",3.205,False,n/a,
C02,related_unanswerable,refuse,Why is cosine similarity preferred over the raw dot product for comparing word embeddings?,k=1,The provided documents do not contain this information.,refused,True,model_judgement,0.2821,"course-reading-wk8.1.pdf",1.31,True,n/a,
C03,related_unanswerable,refuse,How many parameters does GPT-4 have?,k=1,The provided documents do not contain this information.,refused,True,retrieval_distance,0.6964,,0.031,True,n/a,
C04,related_unanswerable,refuse,Which Python library should I use to implement a CKY parser?,k=1,The provided documents do not contain this information.,refused,True,model_judgement,0.4668,"course-reading-wk7.2.pdf",1.314,True,n/a,
C05,related_unanswerable,refuse,What learning rate should I use when training a deep learning language model?,k=1,The provided documents do not contain this information.,refused,True,model_judgement,0.4919,"course-reading-wk6.1.pdf",1.305,True,n/a,
C06,related_unanswerable,refuse,What is positive pointwise mutual information and how is it computed?,k=1,The provided documents do not contain this information.,refused,True,model_judgement,0.2601,"course-reading-wk6.2.pdf",1.277,True,n/a,
A01,answerable,answer,What is the difference between an intrinsic and an extrinsic evaluation of a language model?,k=3,"The best way to explain the difference between an intrinsic and an extrinsic evaluation of a language model based on the provided context is as follows:  An intrinsic evaluation measures the quality of a language model independent of any application.   An extrinsic evaluation, on the other hand, involves embedding the language model in an application and measuring how much it improves the performance of that application.",answered,False,,0.3176,"course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf",5.186,True,,
A02,answerable,answer,How does the Markov assumption simplify the task of language modelling?,k=3,"The provided documents do not explicitly state how the Markov assumption simplifies the task of language modelling. However, based on the context, it can be inferred that the Markov assumption allows for a simpler approximation in predicting the conditional probability of the next word, specifically by making the assumption that the probability of a word depends only on the previous word (P(wn|w1:n−1)≈ P(wn|wn−1)).",answered,False,,0.3033,"course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf",6.14,True,,
A03,answerable,answer,What is the difference between word types and word tokens in a corpus?,k=3,"According to the context, the main difference between word types and word tokens in a corpus is that:  * Word types refer to the number of distinct words (vocabulary size) in a corpus. * Word tokens refer to the total number of running words (ignoring punctuation) in a corpus.  In other words, word types are unique words, while word tokens are individual instances of those words.",answered,False,,0.2416,"course-reading-wk4.1.pdf; course-reading-wk3.1.pdf; course-reading-wk3.2.pdf",5.471,True,,
A04,answerable,answer,What is the Naive Bayes assumption and how does it affect probability calculations?,k=3,"The provided context does not directly answer the question about what the ""Naive Bayes assumption"" is and how it affects probability calculations. However, based on the text, we can infer that the Naive Bayes model assumes independence between features (words) in a sentence, which allows for the calculation of probabilities as shown by Equation 4.15.  Therefore, to answer this question indirectly:",answered,False,,0.3847,"course-reading-wk2.2.pdf; course-reading-wk2.2.pdf; course-reading-wk2.2.pdf",5.699,True,,
A05,answerable,answer,In a confusion matrix how are precision and recall calculated?,k=3,The provided documents do not contain this information.,refused,True,model_judgement,0.31,"course-reading-wk2.2.pdf; course-reading-wk2.2.pdf; course-reading-wk2.2.pdf",1.598,False,,
A07,answerable,answer,What are stopwords and why are they removed during text preprocessing?,k=3,"Stopwords are very common words in a language (such as ""the"", ""and"", ""of"", and ""on"" in English) that are typically removed from text documents because their presence does not add significant meaning or information. They are removed to improve the performance of text classification applications, although it's noted that using a stop word list doesn't usually improve performance in most cases.",answered,False,,0.3629,"course-reading-wk2.2.pdf; course-reading-wk2.2.pdf; course-reading-wk3.1.pdf",5.431,True,,
A08,answerable,answer,Describe the parallelogram model used in word embeddings to solve analogies.,k=3,"The provided documents do not contain this information. However, it mentions that Rumelhart and Abrahamson (1973) proposed the parallelogram model for solving simple analogy problems, but it does not describe the details of the model.",hedged,False,model_judgement,0.2643,"course-reading-wk8.1.pdf; course-reading-wk8.2.pdf; course-reading-wk8.4.pdf",3.725,True,,
A09,answerable,answer,What is perplexity and how does it relate to a language's branching factor?,k=3,"Perplexity is related to a language's branching factor in that it is smaller when the branching factor is still 10. Perplexity is also inversely related to the likelihood of the test sequence according to the model, meaning that a lower perplexity indicates a better predictor of words in the test set.",answered,False,,0.2973,"course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf",4.512,True,,
A10,answerable,answer,What is the purpose of smoothing in n-gram models?,k=3,The provided documents do not contain this information.,refused,True,model_judgement,0.325,"course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf",1.568,False,,
A11,answerable,answer,What is the difference between stemming and lemmatization?,k=3,"The two may differ in that stemming most commonly collapses derivationally related words, whereas lemmatization commonly only collapses the different inflectional forms of a lemma. Additionally, stemming usually refers to simply stripping suffixes from the end of the word, while lemmatization attempts to return the base form of a word depending on its context (e.g., as a verb or noun).",answered,False,,0.1792,"course-reading-wk3.2.pdf; course-reading-wk3.2.pdf; course-reading-wk4.1.pdf",5.479,True,,
A13,answerable,answer,Who first implemented the dynamic programming parser behind the CKY algorithm?,k=3,"According to the context, John Cocke was the first person who implemented a dynamic programming parser containing the roots of the CKY algorithm in 1960.",answered,False,,0.2588,"course-reading-wk7.2.pdf; course-reading-wk4.1.pdf; course-reading-wk7.2.pdf",3.012,True,,
A14,answerable,answer,What perplexity did the trigram model achieve in the worked example?,k=3,The provided documents do not contain this information.,refused,True,model_judgement,0.4799,"course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf",1.739,False,,
B01,out_of_corpus,refuse,What is the capital of Brazil?,k=3,The provided documents do not contain this information.,refused,True,retrieval_distance,0.6208,,0.029,True,n/a,
B02,out_of_corpus,refuse,Who won the 2018 FIFA World Cup?,k=3,The provided documents do not contain this information.,refused,True,retrieval_distance,0.6328,,0.024,True,n/a,
B03,out_of_corpus,refuse,What is the boiling point of water in Fahrenheit?,k=3,The provided documents do not contain this information.,refused,True,retrieval_distance,0.7144,,0.023,True,n/a,
B04,out_of_corpus,refuse,How tall is Mount Kilimanjaro?,k=3,The provided documents do not contain this information.,refused,True,retrieval_distance,0.7434,,0.029,True,n/a,
B05,out_of_corpus,refuse,What year was the Eiffel Tower completed?,k=3,The provided documents do not contain this information.,refused,True,retrieval_distance,0.6761,,0.022,True,n/a,
B06,out_of_corpus,refuse,What is the currency of Japan?,k=3,The provided documents do not contain this information.,refused,True,retrieval_distance,0.5915,,0.021,True,n/a,
B07,out_of_corpus,refuse,Who wrote the novel Wuthering Heights?,k=3,The provided documents do not contain this information.,refused,True,retrieval_distance,0.6593,,0.023,True,n/a,
B08,out_of_corpus,refuse,What is the chemical symbol for tungsten?,k=3,The provided documents do not contain this information.,refused,True,retrieval_distance,0.7068,,0.025,True,n/a,
B09,out_of_corpus,refuse,How many time zones does Russia have?,k=3,The provided documents do not contain this information.,refused,True,retrieval_distance,0.6543,,0.022,True,n/a,
B10,out_of_corpus,refuse,What is the population of Singapore?,k=3,The provided documents do not contain this information.,refused,True,retrieval_distance,0.7008,,0.026,True,n/a,
B11,out_of_corpus,refuse,Who is the chief executive of OpenAI?,k=3,The provided documents do not contain this information.,refused,True,retrieval_distance,0.76,,0.024,True,n/a,
B12,out_of_corpus,refuse,What is the world record for the men's 100 metre sprint?,k=3,The provided documents do not contain this information.,refused,True,retrieval_distance,0.7033,,0.03,True,n/a,
