qid,category,expected,question,condition,answer,outcome,refused,refusal_reason,nearest_distance,sources,total_s,behaved_correctly,answer_correct,error
A01,answerable,answer,What is the difference between an intrinsic and an extrinsic evaluation of a language model?,Fixed-size,"An intrinsic evaluation measures the quality of a model independent of any application. An extrinsic evaluation, on the other hand, embeds the model in an application and measures how much the application improves. Extrinsic evaluation is considered more reliable as it shows whether a particular improvement in a component will really help the task at hand.",answered,False,,0.2934,"course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk8.1.pdf; course-reading-wk8.2.pdf; course-reading-wk8.3.pdf; course-reading-wk8.4.pdf; course-reading-wk6.1.pdf; course-reading-wk2.1.pdf; course-reading-wk2.1.pdf",51.984,True,,
A02,answerable,answer,How does the Markov assumption simplify the task of language modelling?,Fixed-size,"The Markov assumption simplifies the task of language modeling by assuming that the probability of a word depends only on the previous word, rather than looking too far into the past. This allows us to approximate the conditional probability of the next word as P(wn|w1:n−1)≈ P(wn|wn−1), where we only consider the preceding word instead of all previous words.",answered,False,,0.3803,"course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk7.2.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf",59.309,True,,
A03,answerable,answer,What is the difference between word types and word tokens in a corpus?,Fixed-size,"A word type is the class of all tokens containing the same character sequence, whereas a token is an instance of a sequence of characters in some particular document that are grouped together as a useful semantic unit for processing. In other words, word types refer to the unique forms or spellings of words, while word tokens refer to individual occurrences of those words in a text.",answered,False,,0.2546,"course-reading-wk4.1.pdf; course-reading-wk3.2.pdf; course-reading-wk3.2.pdf; course-reading-wk4.1.pdf; course-reading-wk3.2.pdf; course-reading-wk3.1.pdf; course-reading-wk4.1.pdf; course-reading-wk4.1.pdf; course-reading-wk4.1.pdf; course-reading-wk2.1.pdf",53.088,True,,
A04,answerable,answer,What is the Naive Bayes assumption and how does it affect probability calculations?,Fixed-size,"The Naive Bayes assumption, also known as the conditional independence assumption, states that the probabilities P(fi|c) are independent given the class c. This means that the presence or absence of a feature (word) in a document is not affected by the presence or absence of other features. As a result, these probabilities can be ""naively"" multiplied together to calculate the probability of all features given a class.  This assumption simplifies the calculation of probabilities and allows for the use of the formula P(f1, f2, ..., fn|c) = P(f1|c)·P(f2|c)·...·P(fn|c), which is used in the Naive Bayes classifier.",answered,False,,0.3478,"course-reading-wk2.2.pdf; course-reading-wk2.2.pdf; course-reading-wk2.2.pdf; course-reading-wk2.2.pdf; course-reading-wk2.2.pdf; course-reading-wk2.2.pdf; course-reading-wk2.2.pdf; course-reading-wk2.2.pdf; course-reading-wk2.2.pdf; course-reading-wk2.2.pdf",73.843,True,,
A05,answerable,answer,In a confusion matrix how are precision and recall calculated?,Fixed-size,"Precision is defined as Precision = true positives / (true positives + false positives), and Recall is defined as Recall = true positives / (true positives + false negatives).",answered,False,,0.3597,"course-reading-wk2.2.pdf; course-reading-wk2.2.pdf; course-reading-wk2.2.pdf; course-reading-wk2.2.pdf; course-reading-wk2.2.pdf; course-reading-wk2.2.pdf; course-reading-wk2.2.pdf; course-reading-wk2.2.pdf; course-reading-wk2.2.pdf; course-reading-wk2.2.pdf",50.097,True,,
A07,answerable,answer,What are stopwords and why are they removed during text preprocessing?,Fixed-size,"According to the context, stopwords are extremely common words that would appear to be of little value in helping select documents matching a user's need. They are excluded from the vocabulary entirely because removing them does not significantly harm the performance of keyword searches, but can improve the performance of phrase searches by reducing the number of postings that a system has to store.",answered,False,,0.3453,"course-reading-wk3.2.pdf; course-reading-wk3.2.pdf; course-reading-wk3.1.pdf; course-reading-wk3.2.pdf; course-reading-wk4.1.pdf; course-reading-wk2.2.pdf; course-reading-wk2.2.pdf; course-reading-wk3.2.pdf; course-reading-wk2.2.pdf; course-reading-wk2.2.pdf",54.435,True,,
A08,answerable,answer,Describe the parallelogram model used in word embeddings to solve analogies.,Fixed-size,"The provided documents do not contain this information.  However, it does mention that the parallelogram method received more modern attention because of its success with word2vec or GloVe vectors (Mikolov et al. 2013c, Levy and Goldberg 2014b, Pennington et al. 2014) in solving analogy problems, but it does not describe the model itself.  It is mentioned that Rumelhart and Abrahamson (1973) proposed the parallelogram modelp, but there is no further information about how this model works or its application to word embeddings.",hedged,False,model_judgement,0.2027,"course-reading-wk8.1.pdf; course-reading-wk8.2.pdf; course-reading-wk8.3.pdf; course-reading-wk8.4.pdf; course-reading-wk8.1.pdf; course-reading-wk8.2.pdf; course-reading-wk8.3.pdf; course-reading-wk8.4.pdf; course-reading-wk8.3.pdf; course-reading-wk8.4.pdf",62.206,True,,
A09,answerable,answer,What is perplexity and how does it relate to a language's branching factor?,Fixed-size,"Perplexity is the weighted average branching factor of a language, which is the number of possible next words that can follow any word in the language. It is a measure of how well a language model predicts the words in a test set. A lower perplexity indicates that a language model is a better predictor of the words in the test set.",answered,False,,0.3504,"course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.2.pdf; course-reading-wk6.1.pdf",62.817,True,,
A10,answerable,answer,What is the purpose of smoothing in n-gram models?,Fixed-size,"Smoothing algorithms provide a more sophisticated way to estimate the probability of n-grams, allowing for better modeling of unseen data and providing a more accurate representation of language patterns.",answered,False,,0.32,"course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf",53.473,True,,
A11,answerable,answer,What is the difference between stemming and lemmatization?,Fixed-size,"According to the context, the main differences between stemming and lemmatization are:  1. Stemming usually refers to a crude heuristic process that chops off the ends of words in the hope of achieving the goal correctly most of the time, often including the removal of derivational affixes. 2. Lemmatization, on the other hand, is a more sophisticated method that aims to remove only inflectional endings and return the base or dictionary form of a word (known as the lemma), using a vocabulary and morphological analysis of words.  Additionally, stemming commonly collapses derivationally related words, whereas lemmatization usually only collapses the different inflectional forms of a lemma.",answered,False,,0.2237,"course-reading-wk3.2.pdf; course-reading-wk4.1.pdf; course-reading-wk3.2.pdf; course-reading-wk3.2.pdf; course-reading-wk4.1.pdf; course-reading-wk4.1.pdf; course-reading-wk4.1.pdf; course-reading-wk3.1.pdf; course-reading-wk4.1.pdf; course-reading-wk3.2.pdf",64.195,True,,
A13,answerable,answer,Who first implemented the dynamic programming parser behind the CKY algorithm?,Fixed-size,John Cocke in 1960.,answered,False,,0.2409,"course-reading-wk7.2.pdf; course-reading-wk7.2.pdf; course-reading-wk7.2.pdf; course-reading-wk7.2.pdf; course-reading-wk4.1.pdf; course-reading-wk7.2.pdf; course-reading-wk7.2.pdf; course-reading-wk7.2.pdf; course-reading-wk4.1.pdf; course-reading-wk7.2.pdf",45.077,True,,
A14,answerable,answer,What perplexity did the trigram model achieve in the worked example?,Fixed-size,109,answered,False,,0.4659,"course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk8.1.pdf; course-reading-wk8.2.pdf; course-reading-wk8.3.pdf; course-reading-wk8.4.pdf; course-reading-wk6.1.pdf; course-reading-wk8.1.pdf; course-reading-wk8.2.pdf; course-reading-wk8.4.pdf",53.346,True,,
