qid,category,expected,question,condition,answer,outcome,refused,refusal_reason,nearest_distance,sources,total_s,behaved_correctly,answer_correct,error
A01,answerable,answer,What is the difference between an intrinsic and an extrinsic evaluation of a language model?,Fixed-size,"An intrinsic evaluation measures the quality of a model independent of any application, whereas an extrinsic evaluation involves embedding the model in an application and measuring how much it improves the task at hand. Extrinsic evaluation is considered more reliable as it shows whether improvements in a component actually benefit the overall task.",answered,False,,0.2934,"course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf",4.413,True,,
A02,answerable,answer,How does the Markov assumption simplify the task of language modelling?,Fixed-size,The provided documents do not contain this information.,refused,True,model_judgement,0.3803,"course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf",1.736,False,,
A03,answerable,answer,What is the difference between word types and word tokens in a corpus?,Fixed-size,"According to the context, the main difference between word types and word tokens is that:  * Word types (also referred to as ""types"") are the classes of all words containing the same character sequence. * Word tokens (also referred to as ""tokens"") are the individual instances of a word in a particular document.  In other words, multiple occurrences of the same word are considered one type, but each occurrence is counted as a separate token.",answered,False,,0.2546,"course-reading-wk4.1.pdf; course-reading-wk3.2.pdf; course-reading-wk3.2.pdf",6.131,True,,
A04,answerable,answer,What is the Naive Bayes assumption and how does it affect probability calculations?,Fixed-size,"The Naive Bayes assumption, also known as the conditional independence assumption, is that the probabilities P(fi|c) are independent given the class c. This allows us to ""naively"" multiply these probabilities together instead of calculating their joint probability.  This assumption affects probability calculations in the following way: instead of calculating a complex joint probability for all features f1 through fn, we can simply multiply their individual probabilities together as shown in equation (4.7): P(f1, f2, ..., fn|c) = P(f1|c)·P(f2|c)·...·P(fn|c).",answered,False,,0.3478,"course-reading-wk2.2.pdf; course-reading-wk2.2.pdf; course-reading-wk2.2.pdf",8.44,True,,
A05,answerable,answer,In a confusion matrix how are precision and recall calculated?,Fixed-size,"The provided documents do not contain this information. However, it is mentioned that ""we have shown how to compute a distinct precision and recall value for each class.""",hedged,False,model_judgement,0.3597,"course-reading-wk2.2.pdf; course-reading-wk2.2.pdf; course-reading-wk2.2.pdf",3.081,True,,
A07,answerable,answer,What are stopwords and why are they removed during text preprocessing?,Fixed-size,"Stopwords are extremely common words that are excluded from the vocabulary entirely because they would appear to be of little value in helping select documents matching a user's need. They are usually eliminated during indexing, which significantly reduces the number of postings that a system has to store. This is done to improve search results and reduce unnecessary information.",answered,False,,0.3453,"course-reading-wk3.2.pdf; course-reading-wk3.2.pdf; course-reading-wk3.1.pdf",4.932,True,,
A08,answerable,answer,Describe the parallelogram model used in word embeddings to solve analogies.,Fixed-size,The provided documents do not contain this information.,refused,True,model_judgement,0.2027,"course-reading-wk8.1.pdf; course-reading-wk8.2.pdf; course-reading-wk8.4.pdf",1.749,False,,
A09,answerable,answer,What is perplexity and how does it relate to a language's branching factor?,Fixed-size,"Perplexity is closely related to the information-theoretic notion of entropy, and it's also equivalent to the weighted average branching factor of a language. The weighted branching factor is smaller when the probability of some next numbers (in this case, zero) is very predictable, even if the overall branching factor remains the same.",answered,False,,0.3504,"course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf",4.874,True,,
A10,answerable,answer,What is the purpose of smoothing in n-gram models?,Fixed-size,The provided documents do not contain this information.,refused,True,model_judgement,0.32,"course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf",1.726,False,,
A11,answerable,answer,What is the difference between stemming and lemmatization?,Fixed-size,"According to the context, the main differences between stemming and lemmatization are:  1. Stemming mainly strips suffixes from the end of a word, whereas lemmatization attempts to return the base or dictionary form (lemma) of a word. 2. Stemming commonly collapses derivationally related words, whereas lemmatization only collapses different inflectional forms of a lemma. 3. Lemmatization is more precise in its approach and takes into account the part of speech (verb or noun) when determining the base form, whereas stemming returns a more general form (e.g., ""s"" from ""saw"").",answered,False,,0.2237,"course-reading-wk3.2.pdf; course-reading-wk4.1.pdf; course-reading-wk3.2.pdf",8.415,True,,
