qid,question,condition,answer,outcome,refused,refusal_reason,nearest_distance,sources,total_s,behaved_correctly,answer_correct,error,category,expected
A01,What is the difference between an intrinsic and an extrinsic evaluation of a language model?,Fixed-size,"An intrinsic evaluation of a language model measures the quality of a model independent of any application. In other words, it evaluates the model based on its internal properties and performance metrics such as perplexity.  On the other hand, an extrinsic evaluation of a language model measures how much the model improves when used in an actual task or application, such as speech recognition or translation. This type of evaluation is considered more accurate because it takes into account the real-world impact of the model's improvements.  Therefore, intrinsic evaluation focuses on the model itself, while extrinsic evaluation looks at the model's performance in a specific context.",answered,False,,0.2934,"course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk8.1.pdf; course-reading-wk8.2.pdf; course-reading-wk8.3.pdf; course-reading-wk8.4.pdf; course-reading-wk6.1.pdf; course-reading-wk2.1.pdf; course-reading-wk2.1.pdf",49.204,True,,,answerable,answer
A02,How does the Markov assumption simplify the task of language modelling?,Fixed-size,"The Markov assumption simplifies the task of language modeling by assuming that the probability of a word depends only on the previous word, rather than looking too far into the past. This means that instead of computing the probability of a word given all the previous words (P(wn|w1:n−1)), we can approximate it using only the conditional probability of the preceding word (P(wn|wn−1)).",answered,False,,0.3803,"course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk7.2.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf",46.425,True,,,answerable,answer
A03,What is the difference between word types and word tokens in a corpus?,Fixed-size,The provided documents do not contain this information.,refused,True,model_judgement,0.2546,"course-reading-wk4.1.pdf; course-reading-wk3.2.pdf; course-reading-wk3.2.pdf; course-reading-wk4.1.pdf; course-reading-wk3.2.pdf; course-reading-wk3.1.pdf; course-reading-wk4.1.pdf; course-reading-wk4.1.pdf; course-reading-wk4.1.pdf; course-reading-wk2.1.pdf",34.14,False,,,answerable,answer
A04,What is the Naive Bayes assumption and how does it affect probability calculations?,Fixed-size,"The Naive Bayes assumption, also known as the conditional independence assumption, states that the probabilities P(fi|c) are independent given the class c. This allows us to ""naively"" multiply these probabilities together: P(f1, f2, ..., fn|c) = P(f1|c)·P(f2|c)·...·P(fn|c). This assumption simplifies the probability calculations and enables us to use a simpler formula for classifying documents.",answered,False,,0.3478,"course-reading-wk2.2.pdf; course-reading-wk2.2.pdf; course-reading-wk2.2.pdf; course-reading-wk2.2.pdf; course-reading-wk2.2.pdf; course-reading-wk2.2.pdf; course-reading-wk2.2.pdf; course-reading-wk2.2.pdf; course-reading-wk2.2.pdf; course-reading-wk2.2.pdf",53.36,True,,,answerable,answer
A05,In a confusion matrix how are precision and recall calculated?,Fixed-size,Precision is defined as: Precision = true positives / (true positives + false positives)  Recall is defined as: Recall = true positives / (true positives + false negatives),answered,False,,0.3597,"course-reading-wk2.2.pdf; course-reading-wk2.2.pdf; course-reading-wk2.2.pdf; course-reading-wk2.2.pdf; course-reading-wk2.2.pdf; course-reading-wk2.2.pdf; course-reading-wk2.2.pdf; course-reading-wk2.2.pdf; course-reading-wk2.2.pdf; course-reading-wk2.2.pdf",39.591,True,,,answerable,answer
A07,What are stopwords and why are they removed during text preprocessing?,Fixed-size,"Stopwords are extremely common words that do not provide significant value in helping select documents matching a user's need. They include words like ""the"", ""and"", ""a"", etc. These words are excluded from the vocabulary entirely, as removing them does little harm and can significantly reduce the number of postings that a system has to store.",answered,False,,0.3453,"course-reading-wk3.2.pdf; course-reading-wk3.2.pdf; course-reading-wk3.1.pdf; course-reading-wk3.2.pdf; course-reading-wk4.1.pdf; course-reading-wk2.2.pdf; course-reading-wk2.2.pdf; course-reading-wk3.2.pdf; course-reading-wk2.2.pdf; course-reading-wk2.2.pdf",41.773,True,,,answerable,answer
A08,Describe the parallelogram model used in word embeddings to solve analogies.,Fixed-size,The provided documents do not contain this information.,refused,True,model_judgement,0.2027,"course-reading-wk8.1.pdf; course-reading-wk8.2.pdf; course-reading-wk8.3.pdf; course-reading-wk8.4.pdf; course-reading-wk8.1.pdf; course-reading-wk8.2.pdf; course-reading-wk8.3.pdf; course-reading-wk8.4.pdf; course-reading-wk8.1.pdf; course-reading-wk8.4.pdf",35.43,False,,,answerable,answer
A09,What is perplexity and how does it relate to a language's branching factor?,Fixed-size,"Perplexity is defined as the weighted average branching factor of a language, where the branching factor is the number of possible next words that can follow any word. In other words, it measures how well a language model predicts the next word in a sequence given the previous words. A lower perplexity indicates that the language model is a better predictor of the words in the test set, and it is related inversely to the likelihood of the test sequence according to the model.",answered,False,,0.3504,"course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.2.pdf; course-reading-wk6.1.pdf",51.183,True,,,answerable,answer
A10,What is the purpose of smoothing in n-gram models?,Fixed-size,The provided documents do not contain this information.,refused,True,model_judgement,0.32,"course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf",40.279,False,,,answerable,answer
A11,What is the difference between stemming and lemmatization?,Fixed-size,"According to the context, the two main differences between stemming and lemmatization are:  1. **Dealing with derivational affixes**: Stemming commonly collapses both inflectional and derivationally related words into a common base form, whereas lemmatization only removes inflectional endings. 2. **Level of complexity and accuracy**: Lemmatization is considered a more sophisticated process that involves morphological analysis and the use of a vocabulary to return the correct base form, whereas stemming is a simpler heuristic process that just strips suffixes from the end of words.",answered,False,,0.2237,"course-reading-wk3.2.pdf; course-reading-wk4.1.pdf; course-reading-wk3.2.pdf; course-reading-wk3.2.pdf; course-reading-wk4.1.pdf; course-reading-wk4.1.pdf; course-reading-wk4.1.pdf; course-reading-wk3.1.pdf; course-reading-wk4.1.pdf; course-reading-wk3.2.pdf",48.835,True,,,answerable,answer
