qid,condition,question,ground_truth,answer,suggested,why,answer_correct
A01,RAG off,What does the Viterbi algorithm compute for a hidden Markov model?,most likely sequence of hidden states - Viterbi algorithm.pdf + Hidden Markov model.pdf,"The Viterbi algorithm is an efficient dynamic programming algorithm used to find the most likely sequence of states that generated a given observation sequence in a hidden Markov model (HMM). It computes the **Viterbi path**, which is the state sequence with the highest probability of producing the observed sequence.  Given an HMM with parameters:  *   A: transition matrix (probability of transitioning from one state to another) *   B: emission matrix (probability of observing a symbol in each state) *   π: initial state distribution  The Viterbi algorithm computes the following quantities for each time step t and each possible state q at that time step:  1.  **Viterbi path probabilities** (VP): The probability of being in state q at time t, given the observation sequence up to time t. 2.  **Backpointers**: The previous state that led to the current state with the highest probability.  The Viterbi algorithm returns the most likely state sequence, which is the one with the highest VP value for each time step.  Here's a high-level outline of the Viterbi algorithm:  1.  Initialize VP and backpointer arrays for each possible state at time t=0. 2.  For each time step t from 1 to T (number of observations):     *   Compute VP values for each possible state q at time t, given the observation sequence up to time t.     *   Update backpointers to point to the previous state that led to the current state with the highest probability. 3.  Backtrack through the backpointer array to find the most likely state sequence.  The Viterbi algorithm has a time complexity of O(T \* S^2), where T is the number of observations and S is the number of states in the HMM.",TRUE,most likely state sequence (Viterbi path),True
A02,RAG off,What normal form must a grammar be in before the CYK algorithm can be applied?,Chomsky normal form - CYK algorithm.pdf,"A grammar must be in **Chomsky Normal Form (CNF)** for the CYK algorithm to be applied.  In CNF, all production rules have one of the following forms:  1. A → BC (where A, B, and C are non-terminals) 2. A → a (where A is a non-terminal and a is a terminal symbol)  This means that every production rule in the grammar must be either a binary production (splitting a non-terminal into two smaller ones) or a unary production (replacing a non-terminal with a single terminal).",TRUE,Chomsky normal form,True
A03,RAG off,Which researchers is the CYK algorithm named after?,Cocke / Younger / Kasami - CYK algorithm.pdf,"The CYK (Cocke-Younger-Kasami) algorithm is named after its developers:  1. Daniel H. Cocke 2. Tadao Kasami 3. Thomas P. Younger  These three researchers developed the algorithm in 1969, and it has since become a fundamental tool in parsing theory and natural language processing.",FALSE,"BORDERLINE: surnames right, but ""Daniel H. Cocke"" and ""Thomas P. Younger"" are invented (John Cocke, Daniel Younger); ""1969"" also wrong",False
A04,RAG off,What are the two model architectures used by Word2Vec?,CBOW and skip-gram - Word2Vec - Wikipedia.pdf + word2vec.pdf,"Word2Vec is a popular word embedding technique that uses two main model architectures to learn vector representations of words:  1. **Continuous Bag of Words (CBOW)**: In this architecture, the model predicts a target word based on its context words. The input layer consists of the context words, and the output layer is the target word. The idea is that if a word frequently appears in similar contexts, it should have similar vector representations. 2. **Skip-Gram**: This architecture is the opposite of CBOW. In Skip-Gram, the model predicts the context words based on a given target word. The input layer consists of the target word, and the output layer is the context words.  Both architectures use a similar neural network structure, with some differences in how they process the input data:  * CBOW uses an average of the context words as input to the hidden layer. * Skip-Gram uses the target word as input to the hidden layer, and then predicts the context words.  The choice between CBOW and Skip-Gram depends on the specific use case and the characteristics of the dataset.",TRUE,CBOW + skip-gram (check the untruncated answer names skip-gram),True
A05,RAG off,Which two approximate training methods reduce the cost of the softmax in word2vec?,negative sampling + hierarchical softmax - approx-training.pdf + Word2Vec - Wikipedia.pdf,"In Word2Vec, the softmax function is used to compute the probability distribution over all words in the vocabulary given a particular input. However, this computation can be expensive due to its O(n) time complexity, where n is the size of the vocabulary.  To reduce the cost of the softmax function, two approximate training methods are commonly used:  1. **Negative Sampling (NS)**: This method was introduced by Mikolov et al. in their original Word2Vec paper. The basic idea is to randomly sample a small set of ""negative"" words from the vocabulary and use them as additional classes in the softmax function, along with the true class. The number of negative samples is typically much smaller than the size of the vocabulary, making the computation more efficient. 2. **Hierarchical Softmax (HS)**: This method was introduced by Morin and Bengio in 2005. It uses a binary tree structure to represent the vocabulary, where each node represents a word or a group of words. The softmax function is applied only to the leaf nodes of the tree, which are the true classes. The other nodes are used as intermediate representations that can be computed more efficiently.  Both NS and HS have been shown to significantly reduce the computational cost of the softmax function in Word2Vec while maintaining good performance on various tasks.",TRUE,negative sampling + hierarchical softmax,True
A06,RAG off,How is tf-idf weighting calculated?,product of term frequency and inverse document frequency - tf–idf.pdf,"TF-IDF (Term Frequency-Inverse Document Frequency) is a widely used technique in natural language processing and information retrieval to weight the importance of words in a document. The calculation involves two main steps:  1. **Term Frequency (TF)**: This measures how frequently a word appears in a single document. 2. **Inverse Document Frequency (IDF)**: This measures how rare or common a word is across all documents.  **Calculating Term Frequency (TF):**  The TF of a word `w` in a document `d` is calculated as:  TF(w, d) = (Number of occurrences of w in d) / (Total number of words in d)  For example, if the document contains 100 words and the word ""apple"" appears 5 times, then TF(apple, d) = 5/100.  **Calculating Inverse Document Frequency (IDF):**  The IDF of a word `w` is calculated as:  IDF(w) = log(N / n)  where: - `N` is the total number of documents in the corpus. - `n` is the number of documents containing the word `w`.  For example, if there are 1000 documents and ""apple"" appears in 50 of them, then IDF(apple) = log(1000/50).  **Calculating TF-IDF:**  The final step is to combine the TF and IDF values for each word:  TF-IDF(w, d) = TF(w, d) × IDF(w)  This gives a weighted score for each word in the document, indicating its importance.  Here's an example of how this might look in Python: ```python import math  def calculate_tf_idf(word_freq, doc_freq, num_docs):     tf_idf_scores = {}          for word, freq in word_freq.items():         tf = freq / sum(freq.values())         idf = math.log(num_docs / doc_freq[word])         tf_idf_scores[word] = tf * idf          return tf_idf_scores  # Example usage: word_freq = {'apple': 5, 'banana': 3} doc_freq = {'apple': 50, 'banana': 20} num_docs = 1000  tf_idf_scores = calculate_tf_idf(word_freq, doc_freq, num_docs) print(tf_idf_scores)  # Output: {'apple': 1.0986122886681098, 'banana': 0.9162907318741551} ``` Note that this is a simplified example and in practice you may need to consider additional factors such as stop words (common words like ""the"", ""and"") and stemming or lemmatization (reducing words to their base form).",TRUE,TF x IDF,True
A07,RAG off,What corpus statistics does GloVe use to learn word vectors?,global word-word co-occurrence counts - glove.pdf,"GloVe (Global Vectors for Word Representation) is a popular word embedding algorithm that uses a combination of two types of corpus statistics to learn word vectors:  1. **Co-occurrence counts**: The number of times each pair of words appears in the same context, i.e., within a fixed window size (e.g., 10 words). This statistic captures the collocations and co-occurrences between words. 2. **Word-context co-occurrence matrices**: A matrix where the rows represent words and the columns represent contexts (i.e., other words that appear in the same context as the word at the row). The entry at row i and column j represents the number of times word i appears in the context of word j.  GloVe uses these two types of statistics to learn a low-dimensional representation of each word, where similar words are mapped to nearby points in the vector space. The algorithm is based on the idea that words with similar contexts will have similar vector representations.  More specifically, GloVe uses the following mathematical formulation:  Let `W` be the matrix of word vectors, where `W[i]` represents the vector for word `i`. Let `C` be the co-occurrence count matrix, where `C[i,j]` represents the number of times word `i` appears in the context of word `j`.  GloVe minimizes the following objective function:  `L = ∑_{i=1}^V ∑_{j=1}^V C[i,j] (W[i] \* W[j]) - U(i) \* V(j)`  where `U(i)` and `V(j)` are bias terms for word `i` and context `j`, respectively.  The objective function is optimized using stochastic gradient descent, which updates the word vectors based on the gradients of the loss function with respect to each word vector.  GloVe has been widely used in natural language processing tasks due to its ability to capture complex semantic relationships between words.",TRUE,co-occurrence counts; its stated objective function is wrong but that is a side detail,True
A08,RAG off,What two tasks is BERT pretrained on?,masked language modelling + next sentence prediction - bert.pdf,"BERT (Bidirectional Encoder Representations from Transformers) was pre-trained on two primary masked language modeling and next sentence prediction tasks:  1. **Masked Language Modeling (MLM):** In this task, some of the input tokens are randomly replaced with a [MASK] token. The model is then trained to predict the original token that was replaced.  2. **Next Sentence Prediction (NSP):** This task involves predicting whether two given sentences are adjacent in the original text or not.",TRUE,MLM + NSP,True
A09,RAG off,How does the fastText subword model represent a word?,sum of character n-gram vectors - subword-embedding.pdf,"The fastText subword model represents a word as a combination of subwords, which are smaller units of text that make up the original word. This is in contrast to traditional word embeddings, where each word is represented by a single vector.  In fastText, each word is broken down into its constituent subwords using a technique called ""n-gram"" decomposition. For example, the word ""university"" might be decomposed into the subwords ""uni"", ""versi"", and ""ty"".  Each subword is then represented as a dense vector in a shared embedding space. The vectors for each subword are learned jointly with the rest of the model during training.  When representing an entire word, fastText uses a combination of the vectors for its constituent subwords. Specifically, it uses a weighted sum of the subword vectors, where the weights are determined by the frequency of each subword in the word.  For example, if we have the following subword vectors:  * ""uni"": [0.1, 0.2, 0.3] * ""versi"": [0.4, 0.5, 0.6] * ""ty"": [0.7, 0.8, 0.9]  And the word ""university"" is decomposed into these subwords with frequencies (1, 2, 1) respectively, then the vector for ""university"" would be:  [0.1 + 2 \* 0.4, 0.2 + 2 \* 0.5, 0.3 + 2 \* 0.6] + [0.7, 0.8, 0.9]  This results in a vector that captures the semantic meaning of the entire word, rather than just its individual subwords.  The use of subword representations has several advantages over traditional word embeddings:  1. **Handling out-of-vocabulary words**: By decomposing words into subwords, fastText can handle words that are not seen during training. 2. **Capturing morphological relationships**: Subword representations can capture the relationships between words with similar prefixes or suffixes. 3. **Improved performance on tasks like language modeling and machine translation**: FastText has been shown to outperform traditional word embeddings in these tasks.  Overall, fastText's subword model provides a more nuanced and flexible way of representing words, which can lead to improved performance on various NLP tasks.",FALSE,"BORDERLINE: says ""weighted sum by subword frequency"" with a made-up decomposition; the source says sum of character n-gram vectors",False
A10,RAG off,Why does the transformer need positional encoding?,self-attention has no order information - transformer.pdf,"Positional encoding is a technique used in self-attention mechanisms, such as those found in transformers, to capture the order or position of tokens (e.g., words) in a sequence. This is necessary because standard self-attention mechanisms are invariant to permutations of the input sequence, meaning that they treat ""hello world"" and ""world hello"" equally.  However, for many tasks, especially those involving sequential data like language translation, text summarization, or time series forecasting, the order of tokens matters significantly. For example:  1. **Language Translation**: The correct translation of a sentence depends on the word order in both the source and target languages. 2. **Text Summarization**: Understanding the context and relationships between words is crucial for generating accurate summaries, which often involves understanding the sequence of events or ideas presented in the text. 3. **Time Series Forecasting**: Predictions about future values in a time series are heavily influenced by past values and their order.  Without positional encoding, a transformer would not be able to differentiate between these permutations, leading to incorrect outputs for tasks that rely on sequential information.  Positional encoding introduces an additional dimension (the position) into the input embeddings. This is typically done by adding a learned vector to each token's embedding based on its position in the sequence. The design of positional encoding can vary; some common methods include:  - **Sinusoidal Positional Encoding**: This method uses sine and cosine functions of different frequencies to encode positions. - **Learned Positional Embeddings**: These are learned vectors that are added to each token's embedding based on its position.  By incorporating positional information into the input embeddings, transformers can learn to attend to tokens in a way that respects their order, leading to more accurate and meaningful outputs for tasks that rely on sequential data.",TRUE,self-attention is permutation-invariant,True
