qid,category,expected,question,condition,answer,outcome,refused,refusal_reason,nearest_distance,sources,total_s,behaved_correctly,answer_correct,error
A01,answerable,answer,What does the Viterbi algorithm compute for a hidden Markov model?,Fixed-size,The most likely sequence of hidden events that would explain a sequence of observed events.,answered,False,,0.2258,Viterbi algorithm.pdf; Viterbi algorithm.pdf; Viterbi algorithm.pdf; Viterbi algorithm.pdf; Viterbi algorithm.pdf; Viterbi algorithm.pdf; Viterbi algorithm.pdf; Viterbi algorithm.pdf; Hidden Markov model.pdf; Hidden Markov model.pdf,38.264,True,,
A02,answerable,answer,What normal form must a grammar be in before the CYK algorithm can be applied?,Fixed-size,Chomsky normal form (CNF).,answered,False,,0.2333,CYK algorithm.pdf; CYK algorithm.pdf; CYK algorithm.pdf; CYK algorithm.pdf; CYK algorithm.pdf; CYK algorithm.pdf; CYK algorithm.pdf; CYK algorithm.pdf; CYK algorithm.pdf; CYK algorithm.pdf,36.054,True,,
A03,answerable,answer,Which researchers is the CYK algorithm named after?,Fixed-size,"The Cocke–Younger–Kasami algorithm (CYK) is named after some of its rediscoverers: John Cocke, Daniel Younger, Tadao Kasami, and Jacob T. Schwar.",answered,False,,0.3444,CYK algorithm.pdf; CYK algorithm.pdf; CYK algorithm.pdf; CYK algorithm.pdf; CYK algorithm.pdf; CYK algorithm.pdf; Part-of-speech tagging.pdf; CYK algorithm.pdf; CYK algorithm.pdf; Viterbi algorithm.pdf,36.913,True,,
A04,answerable,answer,What are the two model architectures used by Word2Vec?,Fixed-size,The two model architectures used by Word2Vec are:  1. Continuous Bag of Words (CBOW) 2. Continuously Sliding Skip-Gram,answered,False,,0.2733,Word2Vec - Wikipedia.pdf; Word2Vec - Wikipedia.pdf; Word2Vec - Wikipedia.pdf; Word2Vec - Wikipedia.pdf; Word2Vec - Wikipedia.pdf; Word2Vec - Wikipedia.pdf; Word2Vec - Wikipedia.pdf; Word2Vec - Wikipedia.pdf; Word2Vec - Wikipedia.pdf; Word2Vec - Wikipedia.pdf,33.821,True,,
A05,answerable,answer,Which two approximate training methods reduce the cost of the softmax in word2vec?,Fixed-size,Negative sampling and Hierarchical Softmax.,answered,False,,0.3619,approx-training.pdf; Word2Vec - Wikipedia.pdf; Word2Vec - Wikipedia.pdf; Word2Vec - Wikipedia.pdf; Word2Vec - Wikipedia.pdf; Word2Vec - Wikipedia.pdf; Word2Vec - Wikipedia.pdf; approx-training.pdf; glove.pdf; approx-training.pdf,31.921,True,,
A06,answerable,answer,How is tf-idf weighting calculated?,Fixed-size,"tf–idf is calculated as   where  *  is the term frequency (the number of times a word appears in a document), and *  is the inverse document frequency, which is calculated as   This means that the weight of a word in a document is proportional to its frequency in the document, but inversely proportional to its frequency across all documents in the corpus.",answered,False,,0.2418,tf–idf.pdf; tf–idf.pdf; tf–idf.pdf; tf–idf.pdf; tf–idf.pdf; tf–idf.pdf; tf–idf.pdf; tf–idf.pdf; tf–idf.pdf; tf–idf.pdf,58.302,True,,
A07,answerable,answer,What corpus statistics does GloVe use to learn word vectors?,Fixed-size,The provided documents do not contain this information.,refused,True,model_judgement,0.3351,glove.pdf; glove.pdf; similarity-analogy.pdf; glove.pdf; glove.pdf; similarity-analogy.pdf; glove.pdf; similarity-analogy.pdf; Word2Vec - Wikipedia.pdf; similarity-analogy.pdf,38.188,False,,
A08,answerable,answer,What two tasks is BERT pretrained on?,Fixed-size,Masked language modeling and next sentence prediction.,answered,False,,0.3161,bert.pdf; bert.pdf; bert.pdf; bert.pdf; bert.pdf; bert.pdf; bert.pdf; bert.pdf; bert.pdf; bert.pdf,33.191,True,,
A09,answerable,answer,How does the fastText subword model represent a word?,Fixed-size,The fastText subword model represents a word as the sum of its subword vectors.,answered,False,,0.2802,subword-embedding.pdf; subword-embedding.pdf; subword-embedding.pdf; subword-embedding.pdf; subword-embedding.pdf; subword-embedding.pdf; Word2Vec - Wikipedia.pdf; subword-embedding.pdf; Word2Vec - Wikipedia.pdf; language-model.pdf,39.316,True,,
A10,answerable,answer,Why does the transformer need positional encoding?,Fixed-size,The provided documents do not contain this information.,refused,True,model_judgement,0.4158,bert.pdf; transformer.pdf; transformer.pdf; transformer.pdf; transformer.pdf; transformer.pdf; transformer.pdf; transformer.pdf; Large language model.pdf; transformer.pdf,34.431,False,,
