qid,category,expected,question,condition,answer,outcome,refused,refusal_reason,nearest_distance,sources,total_s,behaved_correctly,answer_correct,error
A01,answerable,answer,What is the difference between an intrinsic and an extrinsic evaluation of a language model?,Threshold off,"An intrinsic evaluation measures the quality of a model independent of any application, whereas an extrinsic evaluation embeds the model in an application and measures how much it improves performance. Intrinsic evaluation uses metrics such as correlation between algorithm's word similarity scores and human ratings (e.g., WordSim-353), while extrinsic evaluation involves using vectors in an NLP task to see if they improve performance over another model.",answered,False,,0.3176,"course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk8.1.pdf; course-reading-wk8.2.pdf; course-reading-wk8.3.pdf; course-reading-wk8.4.pdf; course-reading-wk8.2.pdf; course-reading-wk8.3.pdf; course-reading-wk8.4.pdf",68.173,True,,
A02,answerable,answer,How does the Markov assumption simplify the task of language modelling?,Threshold off,"The provided documents do not contain this information explicitly, but based on the context it can be inferred that the Markov assumption simplifies the task of language modeling by making an approximation, specifically assuming that ""the probability of a word depends only on the previous word"". This simplification allows for the use of n-gram models and enables the computation of entropy and perplexity.",hedged,False,model_judgement,0.3033,"course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk8.1.pdf; course-reading-wk8.2.pdf; course-reading-wk8.3.pdf; course-reading-wk8.4.pdf",57.286,True,,
A03,answerable,answer,What is the difference between word types and word tokens in a corpus?,Threshold off,"According to the context, the difference between word types and word tokens in a corpus is as follows:  * Word tokens are the total number of individual running words (e.g., ""They"", ""picnicked"", ""by"", etc.) in a corpus. * Word types, on the other hand, refer to the distinct words or unique items in the vocabulary, regardless of their occurrences. In other words, it is the number of different word forms or spellings.  For example, in the sentence: ""They picnicked by the pool, then lay back on the grass and looked at the stars."", ""picnicked"" and ""by"" are two separate tokens, but they are considered as one type (or ""word type"") because they have the same form or spelling.",answered,False,,0.2416,"course-reading-wk4.1.pdf; course-reading-wk3.1.pdf; course-reading-wk3.2.pdf; course-reading-wk2.1.pdf; course-reading-wk2.1.pdf; course-reading-wk4.1.pdf; course-reading-wk3.2.pdf; course-reading-wk4.1.pdf; course-reading-wk2.1.pdf; course-reading-wk2.1.pdf",46.737,True,,
A04,answerable,answer,What is the Naive Bayes assumption and how does it affect probability calculations?,Threshold off,"The Naive Bayes assumption, also referred to as the ""tional independence assumption"", is that the probabilities P(fi|c) are independent given the class c. This allows them to be 'naively' multiplied as follows:  P(f1, f2, ...., fn|c) = P(f1|c)· P(f2|c)· ...· P(fn|c)  This assumption affects probability calculations by enabling the multiplication of individual probabilities to obtain the joint probability.",answered,False,,0.3847,"course-reading-wk2.2.pdf; course-reading-wk2.2.pdf; course-reading-wk2.2.pdf; course-reading-wk2.2.pdf; course-reading-wk2.2.pdf; course-reading-wk2.2.pdf; course-reading-wk2.2.pdf; course-reading-wk2.2.pdf; course-reading-wk2.2.pdf; course-reading-wk2.2.pdf",58.725,True,,
A05,answerable,answer,In a confusion matrix how are precision and recall calculated?,Threshold off,Precision is calculated as true positives divided by the sum of true positives and false positives (Precision = TP / (TP + FP)). Recall is calculated as true positives divided by the sum of true positives and false negatives (Recall = TP / (TP + FN)).,answered,False,,0.31,"course-reading-wk2.2.pdf; course-reading-wk2.2.pdf; course-reading-wk2.2.pdf; course-reading-wk2.2.pdf; course-reading-wk2.2.pdf; course-reading-wk2.2.pdf; course-reading-wk2.2.pdf; course-reading-wk2.2.pdf; course-reading-wk2.2.pdf; course-reading-wk2.2.pdf",40.161,True,,
A07,answerable,answer,What are stopwords and why are they removed during text preprocessing?,Threshold off,"Stopwords are extremely common words in a language that would appear to be of little value in helping select documents matching a user need. They are typically removed from the vocabulary entirely during text processing because using them doesn't improve performance in most text classification applications, and including them can add extra cost to indexing and query processing time.",answered,False,,0.3629,"course-reading-wk2.2.pdf; course-reading-wk2.2.pdf; course-reading-wk3.1.pdf; course-reading-wk3.2.pdf; course-reading-wk4.1.pdf; course-reading-wk3.2.pdf; course-reading-wk3.2.pdf; course-reading-wk3.2.pdf; course-reading-wk6.2.pdf; course-reading-wk6.2.pdf",40.127,True,,
A08,answerable,answer,Describe the parallelogram model used in word embeddings to solve analogies.,Threshold off,"The parallelogram model proposed by Rumelhart and Abrahamson (1973) is a vector space model of cognition that uses embeddings to capture relational meanings and solve simple analogy problems. It represents words as vectors, where each dimension corresponds to a feature or aspect of the word's meaning.  To solve an analogy problem, the parallelogram method works by combining two vectors using vector addition and subtraction. For example:  - To find the relation between ""king"" and ""man"", one would calculate the vector difference between ""king"" and ""man"" (i.e., # »king−# »man). - The result is then added to a word that is related to ""woman"" in the same way, such as ""# »woman"". - The resulting vector is close to the vector of the word ""queen"".  The parallelogram method received attention due to its success with word2vec or GloVe vectors, but it has been argued by some researchers (Linzen 2016, Gladkova et al. 2016, Schluter 2018, Ethayarajh et al. 2019a) that the parallelogram method is too simple to model human understanding of complex relationships and analogies.",answered,False,,0.2643,"course-reading-wk8.1.pdf; course-reading-wk8.2.pdf; course-reading-wk8.3.pdf; course-reading-wk8.4.pdf; course-reading-wk8.1.pdf; course-reading-wk8.2.pdf; course-reading-wk8.3.pdf; course-reading-wk8.4.pdf; course-reading-wk8.1.pdf; course-reading-wk8.4.pdf",76.838,True,,
A09,answerable,answer,What is perplexity and how does it relate to a language's branching factor?,Threshold off,"Perplexity is a measure used to evaluate n-gram language models on a test set. It is a normalized version of the probability of the test set. In simpler terms, perplexity measures how well a language model can predict the next word in a sequence.  The text states that perplexity is related to both the text and the language model. It also mentions that the branching factor of a language (the number of possible next words that can follow any word) is not necessarily directly related to its perplexity, as the perplexity is a function of how well the model predicts the test sequence.  In particular, it says: ""We mentioned above that perplexity is a function of both the text and the lan-guage model: given a text W, different language models will have different perplexing factor of a language."" This suggests that perplexity can be used as a measure to compare different language models on a given test set.  It also notes that a lower perplexity indicates a better language model. The branching factor is mentioned in the context of recognizing digits, but it's not directly related to the concept of perplexity itself.",answered,False,,0.2973,"course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.2.pdf",62.636,True,,
A10,answerable,answer,What is the purpose of smoothing in n-gram models?,Threshold off,"To see unseen events in a language model, we'll have to shave off some probability mass from more frequent events and give it to the events we've never seen. This modification is called smoothing or discounting.   In this context, smoothing is used to distribute probability mass to unseen n-grams by discounting counts of more frequent n-grams.",answered,False,,0.325,"course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf",42.965,True,,
A11,answerable,answer,What is the difference between stemming and lemmatization?,Threshold off,"The two may also differ in that stemming most commonly collapses derivationally related words, whereas lemmatization commonly only collapses the different inflectional forms of a lemma. Additionally, lemmatization can take into account whether a word is used as a verb or noun, and will return a more accurate base form, whereas stemming simply chops off suffixes from the end of the word.",answered,False,,0.1792,"course-reading-wk3.2.pdf; course-reading-wk3.2.pdf; course-reading-wk4.1.pdf; course-reading-wk4.1.pdf; course-reading-wk3.2.pdf; course-reading-wk4.1.pdf; course-reading-wk3.1.pdf; course-reading-wk3.2.pdf; course-reading-wk4.1.pdf; course-reading-wk4.1.pdf",41.501,True,,
A13,answerable,answer,Who first implemented the dynamic programming parser behind the CKY algorithm?,Threshold off,John Cocke in 1960.,answered,False,,0.2588,"course-reading-wk7.2.pdf; course-reading-wk4.1.pdf; course-reading-wk7.2.pdf; course-reading-wk7.2.pdf; course-reading-wk7.2.pdf; course-reading-wk7.2.pdf; course-reading-wk7.2.pdf; course-reading-wk7.2.pdf; course-reading-wk7.2.pdf; course-reading-wk7.2.pdf",36.011,True,,
A14,answerable,answer,What perplexity did the trigram model achieve in the worked example?,Threshold off,The perplexity of the trigram model is given as 109 in the context.,answered,False,,0.4799,"course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk8.1.pdf; course-reading-wk8.2.pdf; course-reading-wk8.3.pdf; course-reading-wk8.4.pdf; course-reading-wk8.3.pdf; course-reading-wk8.4.pdf",40.471,True,,
