participant,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,sus_score,mode,group,t1,t2,t3,t4,t5
P1,3,2,4,1,3,3,5,2,4,1,75.0,in person,technical,unaided,unaided,unaided,unaided,unaided
P2,4,2,5,1,5,1,5,2,5,1,92.5,in person,technical,unaided,unaided,unaided,unaided,unaided
P3,3,2,5,2,3,1,5,3,4,4,70.0,in person,non-technical,unaided,unaided,unaided,unaided,unaided
P4,2,1,5,1,5,1,4,2,5,1,87.5,in person,technical,unaided,unaided,unaided,unaided,unaided
P5,2,1,4,1,3,3,4,2,5,1,75.0,in person,non-technical,unaided,unaided,unaided,unaided,unaided
P6,4,2,4,1,4,2,4,2,4,1,80.0,remote,technical,unaided,unaided,not attempted,unaided,unaided
P7,5,1,5,1,4,2,5,1,5,1,95.0,in person,technical,unaided,unaided,unaided,unaided,unaided
P8,4,2,4,1,3,2,4,2,4,1,77.5,in person,technical,with prompt,unaided,unaided,unaided,unaided
P9,4,1,5,1,5,1,4,1,5,1,95.0,remote,technical,unaided,unaided,unaided,unaided,unaided
P10,4,2,5,1,4,1,5,1,4,1,90.0,in person,technical,unaided,unaided,unaided,unaided,with prompt
