question,k_requested,n_chunks,context_chars,retrieve_s,generate_s,total_s,wall_s,elapsed_since_start_s,error,model,block,phase,cold_start_reliable,resident
What does the Viterbi algorithm compute?,1,1,55,0.081,10.007,10.088,10.091,13.3,,llama3.1:8b,0,cold,True,llama3.1:8b
What is Chomsky normal form?,1,1,457,0.01,0.901,0.911,0.934,14.3,,llama3.1:8b,0,warmup,,llama3.1:8b
Which researchers is the CYK algorithm named after?,1,1,486,0.008,0.861,0.869,0.896,15.3,,llama3.1:8b,0,warmup,,llama3.1:8b
What does the Viterbi algorithm compute?,1,1,55,0.008,0.544,0.552,0.576,16.0,,llama3.1:8b,1,steady,,llama3.1:8b
What is Chomsky normal form?,1,1,457,0.008,0.89,0.898,0.924,16.9,,llama3.1:8b,1,steady,,llama3.1:8b
Which researchers is the CYK algorithm named after?,1,1,486,0.009,0.848,0.857,0.882,17.8,,llama3.1:8b,1,steady,,llama3.1:8b
What are the two Word2Vec architectures?,1,1,424,0.009,0.593,0.603,0.605,18.4,,llama3.1:8b,1,steady,,llama3.1:8b
What is negative sampling?,1,1,477,0.008,0.62,0.628,0.655,19.0,,llama3.1:8b,1,steady,,llama3.1:8b
What is hierarchical softmax?,1,1,486,0.012,0.964,0.976,0.99,20.0,,llama3.1:8b,1,steady,,llama3.1:8b
How is tf-idf calculated?,1,1,464,0.011,1.678,1.689,1.707,21.7,,llama3.1:8b,1,steady,,llama3.1:8b
What does GloVe learn from?,1,1,479,0.009,0.52,0.529,0.549,22.3,,llama3.1:8b,1,steady,,llama3.1:8b
What is masked language modelling in BERT?,1,1,358,0.011,0.888,0.898,0.914,23.2,,llama3.1:8b,1,steady,,llama3.1:8b
How does fastText represent words?,1,1,477,0.008,0.578,0.586,0.604,23.8,,llama3.1:8b,1,steady,,llama3.1:8b
Why does the transformer need positional encoding?,1,1,389,0.009,0.546,0.555,0.58,24.4,,llama3.1:8b,1,steady,,llama3.1:8b
What is multi-head attention?,1,1,474,0.01,0.501,0.511,0.53,24.9,,llama3.1:8b,1,steady,,llama3.1:8b
How is speech recognition accuracy measured?,1,1,482,0.011,0.804,0.815,0.833,25.7,,llama3.1:8b,1,steady,,llama3.1:8b
What is a hidden Markov model?,1,1,470,0.008,0.903,0.911,0.936,26.7,,llama3.1:8b,1,steady,,llama3.1:8b
What is part-of-speech tagging?,1,1,434,0.011,1.201,1.212,1.215,27.9,,llama3.1:8b,1,steady,,llama3.1:8b
What is named-entity recognition?,1,1,479,0.011,0.835,0.846,0.864,28.8,,llama3.1:8b,1,steady,,llama3.1:8b
What is an n-gram?,1,1,489,0.009,0.607,0.616,0.642,29.4,,llama3.1:8b,1,steady,,llama3.1:8b
When was GPT-4 released?,1,1,496,0.01,0.538,0.548,0.568,30.0,,llama3.1:8b,1,steady,,llama3.1:8b
What is retrieval-augmented generation?,1,1,455,0.007,2.757,2.764,2.766,32.7,,llama3.1:8b,1,steady,,llama3.1:8b
What is hallucination in large language models?,1,1,422,0.008,0.526,0.534,0.537,33.3,,llama3.1:8b,1,steady,,llama3.1:8b
What does the Viterbi algorithm compute?,1,1,55,0.008,0.473,0.481,0.494,33.8,,llama3.1:8b,2,steady,,llama3.1:8b
What is Chomsky normal form?,1,1,457,0.007,0.817,0.824,0.826,34.6,,llama3.1:8b,2,steady,,llama3.1:8b
Which researchers is the CYK algorithm named after?,1,1,486,0.01,0.768,0.778,0.791,35.4,,llama3.1:8b,2,steady,,llama3.1:8b
What are the two Word2Vec architectures?,1,1,424,0.013,0.475,0.488,0.501,35.9,,llama3.1:8b,2,steady,,llama3.1:8b
What is negative sampling?,1,1,477,0.01,0.521,0.532,0.534,36.5,,llama3.1:8b,2,steady,,llama3.1:8b
What is hierarchical softmax?,1,1,486,0.01,0.916,0.926,0.928,37.4,,llama3.1:8b,2,steady,,llama3.1:8b
How is tf-idf calculated?,1,1,464,0.008,1.705,1.713,1.716,39.1,,llama3.1:8b,2,steady,,llama3.1:8b
What does GloVe learn from?,1,1,479,0.009,0.483,0.491,0.494,39.6,,llama3.1:8b,2,steady,,llama3.1:8b
What is masked language modelling in BERT?,1,1,358,0.011,0.866,0.877,0.879,40.5,,llama3.1:8b,2,steady,,llama3.1:8b
How does fastText represent words?,1,1,477,0.008,0.481,0.489,0.492,41.0,,llama3.1:8b,2,steady,,llama3.1:8b
Why does the transformer need positional encoding?,1,1,389,0.01,0.487,0.498,0.5,41.5,,llama3.1:8b,2,steady,,llama3.1:8b
What is multi-head attention?,1,1,474,0.008,0.49,0.497,0.5,42.0,,llama3.1:8b,2,steady,,llama3.1:8b
How is speech recognition accuracy measured?,1,1,482,0.008,0.772,0.78,0.795,42.8,,llama3.1:8b,2,steady,,llama3.1:8b
What is a hidden Markov model?,1,1,470,0.009,0.881,0.889,0.916,43.7,,llama3.1:8b,2,steady,,llama3.1:8b
What is part-of-speech tagging?,1,1,434,0.009,1.246,1.254,1.257,44.9,,llama3.1:8b,2,steady,,llama3.1:8b
What is named-entity recognition?,1,1,479,0.009,0.834,0.843,0.845,45.8,,llama3.1:8b,2,steady,,llama3.1:8b
What is an n-gram?,1,1,489,0.009,0.615,0.624,0.65,46.4,,llama3.1:8b,2,steady,,llama3.1:8b
When was GPT-4 released?,1,1,496,0.008,0.506,0.514,0.529,47.0,,llama3.1:8b,2,steady,,llama3.1:8b
What is retrieval-augmented generation?,1,1,455,0.011,2.102,2.113,2.115,49.1,,llama3.1:8b,2,steady,,llama3.1:8b
What is hallucination in large language models?,1,1,422,0.008,0.492,0.5,0.522,49.6,,llama3.1:8b,2,steady,,llama3.1:8b
What does the Viterbi algorithm compute?,1,1,55,0.007,0.504,0.512,0.534,50.2,,llama3.1:8b,3,steady,,llama3.1:8b
What is Chomsky normal form?,1,1,457,0.009,0.835,0.844,0.847,51.0,,llama3.1:8b,3,steady,,llama3.1:8b
Which researchers is the CYK algorithm named after?,1,1,486,0.012,0.808,0.82,0.844,51.9,,llama3.1:8b,3,steady,,llama3.1:8b
What are the two Word2Vec architectures?,1,1,424,0.007,0.5,0.507,0.525,52.4,,llama3.1:8b,3,steady,,llama3.1:8b
What is negative sampling?,1,1,477,0.007,0.57,0.577,0.58,53.0,,llama3.1:8b,3,steady,,llama3.1:8b
What is hierarchical softmax?,1,1,486,0.01,1.021,1.032,1.035,54.0,,llama3.1:8b,3,steady,,llama3.1:8b
How is tf-idf calculated?,1,1,464,0.011,2.137,2.148,2.171,56.2,,llama3.1:8b,3,steady,,llama3.1:8b
What does GloVe learn from?,1,1,479,0.01,0.594,0.604,0.62,56.8,,llama3.1:8b,3,steady,,llama3.1:8b
What is masked language modelling in BERT?,1,1,358,0.012,0.948,0.96,0.978,57.8,,llama3.1:8b,3,steady,,llama3.1:8b
How does fastText represent words?,1,1,477,0.009,0.589,0.598,0.601,58.4,,llama3.1:8b,3,steady,,llama3.1:8b
Why does the transformer need positional encoding?,1,1,389,0.011,0.612,0.624,0.645,59.0,,llama3.1:8b,3,steady,,llama3.1:8b
What is multi-head attention?,1,1,474,0.009,0.556,0.565,0.58,59.6,,llama3.1:8b,3,steady,,llama3.1:8b
How is speech recognition accuracy measured?,1,1,482,0.011,0.868,0.879,0.882,60.5,,llama3.1:8b,3,steady,,llama3.1:8b
What is a hidden Markov model?,1,1,470,0.01,1.006,1.017,1.033,61.5,,llama3.1:8b,3,steady,,llama3.1:8b
What is part-of-speech tagging?,1,1,434,0.011,1.542,1.553,1.556,63.1,,llama3.1:8b,3,steady,,llama3.1:8b
What is named-entity recognition?,1,1,479,0.008,0.879,0.887,0.903,64.0,,llama3.1:8b,3,steady,,llama3.1:8b
What is an n-gram?,1,1,489,0.011,0.605,0.616,0.634,64.6,,llama3.1:8b,3,steady,,llama3.1:8b
When was GPT-4 released?,1,1,496,0.008,0.501,0.51,0.512,65.1,,llama3.1:8b,3,steady,,llama3.1:8b
What is retrieval-augmented generation?,1,1,455,0.009,2.509,2.518,2.521,67.7,,llama3.1:8b,3,steady,,llama3.1:8b
What is hallucination in large language models?,1,1,422,0.011,0.496,0.508,0.533,68.2,,llama3.1:8b,3,steady,,llama3.1:8b
What does the Viterbi algorithm compute?,3,3,917,0.008,7.83,7.838,7.841,79.3,,llama3.1:8b,0,cold,True,llama3.1:8b
What is Chomsky normal form?,3,3,1340,0.01,1.314,1.325,1.35,80.7,,llama3.1:8b,0,warmup,,llama3.1:8b
Which researchers is the CYK algorithm named after?,3,3,1411,0.008,0.916,0.924,0.938,81.7,,llama3.1:8b,0,warmup,,llama3.1:8b
What does the Viterbi algorithm compute?,3,3,917,0.008,0.763,0.771,0.789,82.5,,llama3.1:8b,1,steady,,llama3.1:8b
What is Chomsky normal form?,3,3,1340,0.01,1.128,1.138,1.14,83.7,,llama3.1:8b,1,steady,,llama3.1:8b
Which researchers is the CYK algorithm named after?,3,3,1411,0.012,0.865,0.877,0.88,84.6,,llama3.1:8b,1,steady,,llama3.1:8b
What are the two Word2Vec architectures?,3,3,1331,0.01,0.636,0.646,0.67,85.2,,llama3.1:8b,1,steady,,llama3.1:8b
What is negative sampling?,3,3,1414,0.009,0.922,0.93,0.933,86.2,,llama3.1:8b,1,steady,,llama3.1:8b
What is hierarchical softmax?,3,3,1384,0.011,2.07,2.081,2.084,88.2,,llama3.1:8b,1,steady,,llama3.1:8b
How is tf-idf calculated?,3,3,1246,0.01,1.192,1.201,1.229,89.5,,llama3.1:8b,1,steady,,llama3.1:8b
What does GloVe learn from?,3,3,1386,0.009,0.676,0.685,0.711,90.2,,llama3.1:8b,1,steady,,llama3.1:8b
