condition,qid,outcome,answer_correct,reason,question,answer_snippet
RAG off,A01,answered,1,core distinction right; task list is padding but not false,What is the difference between an intrinsic and an extrinsic evaluation of a language model?,Intrinsic and extrinsic evaluations are two types of methods used to assess the performance of a language model. The main difference between them lies in how they measure the model's abilities.  **Int
RAG off,A02,answered,1,correct,How does the Markov assumption simplify the task of language modelling?,"The Markov assumption is a simplifying assumption in language modeling that assumes the probability distribution over future words in a sentence depends only on the current word, and not on any previo"
RAG off,A03,answered,0,WRONG: calls a word type 'also known as a lemma'. J&M distinguishes type/token from lemma/wordform.,What is the difference between word types and word tokens in a corpus?,"In linguistics and natural language processing, a **word token** refers to a single instance of a word in a text or corpus. For example, if you have a sentence ""The cat sat on the mat"", each occurrenc"
RAG off,A04,answered,1,correct,What is the Naive Bayes assumption and how does it affect probability calculations?,"The Naive Bayes assumption, also known as the ""independence assumption,"" is a fundamental concept in Bayesian statistics. It's a simplifying assumption that allows for efficient computation of probabi"
RAG off,A05,answered,1,correct,In a confusion matrix how are precision and recall calculated?,"In a confusion matrix, precision and recall are two important metrics used to evaluate the performance of a classification model.  **Confusion Matrix:**  A confusion matrix is a table that summarizes "
RAG off,A07,answered,1,correct,What are stopwords and why are they removed during text preprocessing?,"**Stopwords** ==============  Stopwords are common words in a language that do not carry much meaning or significance in a sentence. They are typically function words, such as prepositions (e.g., ""in"""
RAG off,A08,answered,0,WRONG: attributes the parallelogram model to 'Chen et al. (2018)'. Fabricated citation; it is Rumelhart & Abrahamson 1973.,Describe the parallelogram model used in word embeddings to solve analogies.,"The parallelogram model, also known as the ""Parallelogram of Thought"" or ""Geometric Model"", is a mathematical framework for solving analogies using word embeddings. It was introduced by Chen et al. (2"
RAG off,A09,answered,0,WRONG: 'branching factor (also known as the vocabulary size)'. Branching factor is the number of possible next words.,What is perplexity and how does it relate to a language's branching factor?,"Perplexity is a measure of how well a statistical model, such as a language model or a search algorithm, fits the data it was trained on. It's a way to quantify the uncertainty or surprise of the mode"
RAG off,A10,hedged,1,"hedged, content correct",What is the purpose of smoothing in n-gram models?,"In n-gram models, smoothing is a technique used to mitigate the problem of zero probability estimates. When estimating probabilities for unseen events (i.e., words or sequences that have not been obse"
RAG off,A11,answered,1,correct,What is the difference between stemming and lemmatization?,"Stemming and lemmatization are both techniques used in natural language processing (NLP) to normalize words to their base or root form, but they differ in their approach and outcome.  **Stemming:**  S"
RAG off,A13,answered,0,"WRONG per corpus: 'Daniel H. Younger in 1967'. Source attributes first implementation to John Cocke, 1960.",Who first implemented the dynamic programming parser behind the CKY algorithm?,"A very specific question!  After some research, I found that the dynamic programming parser behind the CKY (Cocke-Kasami-Younger) algorithm was first implemented by:  * Daniel H. Younger in 1967.  You"
RAG off,A14,answered,0,non-answer: 'This conversation has just begun... I don't have any information about a worked example'. No answer produced.,What perplexity did the trigram model achieve in the worked example?,"This conversation has just begun. I'm happy to chat with you, but I don't have any information about a ""worked example"" or a specific trigram model that achieved a certain level of perplexity. If you'"
RAG off,A15,answered,1,correct,How is TF-IDF weighting calculated?,TF-IDF (Term Frequency-Inverse Document Frequency) is a widely used technique in natural language processing and information retrieval to weight the importance of words in a document. The calculation 
RAG off,A16,answered,1,correct,Why is cosine similarity preferred over the raw dot product for comparing word embeddings?,"Cosine similarity is indeed a popular choice for comparing word embeddings, and it's often preferred over the raw dot product. Here are some reasons why:  **1. Normalization**: Word embeddings can hav"
RAG off,A17,answered,1,correct,What is positive pointwise mutual information and how is it computed?,"A question from the realm of information theory!  Positive Pointwise Mutual Information (PPMI) is a measure used in natural language processing, information retrieval, and other fields to quantify the"
RAG on,A01,answered,1,"intrinsic=independent of application, extrinsic=embedded in task. Verbatim J&M.",What is the difference between an intrinsic and an extrinsic evaluation of a language model?,"An intrinsic evaluation measures the quality of a model independent of any application, whereas an extrinsic evaluation embeds the model in an application and measures how much it improves performance"
RAG on,A02,answered,1,bigram approximation P(wn|w1:n-1)~P(wn|wn-1) stated correctly,How does the Markov assumption simplify the task of language modelling?,"The Markov assumption simplifies the task of language modeling by assuming that the probability of a word depends only on the previous word, rather than considering the entire sequence of words. This "
RAG on,A03,answered,1,"types=distinct forms, tokens=running words. Correct.",What is the difference between word types and word tokens in a corpus?,"According to the context, the difference between word types and word tokens in a corpus is as follows:  * Word types (or ""types"") refer to the number of distinct words or unique items of vocabulary in"
RAG on,A04,answered,1,conditional independence given class; product of per-feature probs,What is the Naive Bayes assumption and how does it affect probability calculations?,The Naive Bayes assumption is the conditional independence assumption that the probabilities P(fi|c) are independent given the class c. This means that the occurrence of one feature (word) does not de
RAG on,A05,answered,1,"P=TP/(TP+FP), R=TP/(TP+FN). Correct.",In a confusion matrix how are precision and recall calculated?,Precision is defined as true positives divided by the sum of true positives and false positives (Precision = true positives / (true positives + false positives)). Recall measures the percentage of ite
RAG on,A08,hedged,1,"hedged, but the parallelogram/vector-arithmetic content is correct",Describe the parallelogram model used in word embeddings to solve analogies.,"The provided documents do not contain this information.  However, based on the context, it appears that the parallelogram method is a technique for solving analogy problems using vector space models o"
RAG on,A09,answered,1,branching factor = number of possible next words; digit example perplexity 10. Correct.,What is perplexity and how does it relate to a language's branching factor?,"Perplexity is a measure used to evaluate n-gram models on a test set. It is a normalized version of the probability of the test set, with lower perplexity indicating that a language model is a better "
RAG on,A10,answered,1,reserve probability mass for unseen n-grams. Correct.,What is the purpose of smoothing in n-gram models?,"To save some probability mass for the unseen n-grams, so that we don't have to assign zero probability to these events. This is necessary because language is creative and any particular context might "
RAG on,A11,answered,1,derivational vs inflectional collapse. Verbatim J&M.,What is the difference between stemming and lemmatization?,"The two may also differ in that stemming most commonly collapses derivationally related words, whereas lemmatization commonly only collapses the different inflectional forms of a lemma. Additionally, "
RAG on,A13,answered,1,John Cocke 1960 — matches the Chapter 18 source,Who first implemented the dynamic programming parser behind the CKY algorithm?,John Cocke in 1960.
