qid,is_impossible,question,gold,prediction,outcome,refused,refusal_reason,top_distance,em,f1
5ad26fafd7d075001a429430,True,What water has cold green waters?,,Upper Lake.,answered,False,,0.4939,0.0,0.0
5ad4f28c5b96ef001a10a734,True,When were most of the places of religious worship destroyed in Poland?,,Most of the places of religious worship were destroyed in the aftermath of the Warsaw Uprising of 1944.,answered,False,,0.351,0.0,0.0
5ad505165b96ef001a10a9f5,True,When did Polonia Ekstraklasa win the country's championship prior to 2000?,,1946.,answered,False,,0.2766,0.0,0.0
5ad3f13e604f3c001a3ff868,True,Of what length are engine cycle events when the simplest exhaust compression is used?,,The provided documents do not contain this information.,refused,True,retrieval_distance,0.5376,1.0,1.0
5a838f74e60761001a2eb7d1,True,What do the juveniles behave like in the genus Beroe?,,The provided documents do not contain this information.,refused,True,model_judgement,0.3293,1.0,1.0
5726431aec44d21400f3dd13,False,What was Tymnet,"an international data communications network headquartered in San Jose, CA | an international data communications network | international data communications network","Tymnet was an international data communications network headquartered in San Jose, CA that utilized virtual call packet switched technology.",answered,False,,0.1944,0.0,0.6667
56e1b754cd28a01900c67abe,False,What is typically used to broadly define complexity measures?,Blum complexity axioms | the Blum complexity axioms | the Blum complexity axioms,The Blum complexity axioms.,answered,False,,0.1919,1.0,1.0
5ad146c0645df0001a2d1506,True,Which laws mentioned not not predate EU law?,,The provided documents do not contain this information.,refused,True,model_judgement,0.3451,1.0,1.0
5a2ebb5fa83784001a7d2448,True,Where did the residents of Antioch flee to due to the plague?,,The provided documents do not contain this information.,refused,True,model_judgement,0.3005,1.0,1.0
57286bf84b864d19001649d4,False,"What alumni wrote ""The Closing of the American Mind""?",Allan Bloom | Allan Bloom | Allan Bloom,Allan Bloom.,answered,False,,0.4592,1.0,1.0
573085ea8ab72b1400f9c54d,False,Colonialism often means a country doing what?,taking physical control of another | a conquest over an area | the process of a country taking physical control of another | dominating areas | country taking physical control of another,Colonialism often means a country taking physical control of another.,answered,False,,0.2736,0.0,0.8
57268527708984140094c8c0,False,In 1785 James Hutton presented what paper to the Royal Society of Edinburgh?,Theory of the Earth | Theory of the Earth | Theory of the Earth,"In 1785 James Hutton presented a paper entitled ""Theory of the Earth"" to the Royal Society of Edinburgh.",answered,False,,0.3666,0.0,0.3333
571ccc00dd7acb1400e4c15a,False,What produces the high levels of oxygen on Earth?,oxygen cycle | the oxygen cycle | oxygen cycle | oxygen cycle | the oxygen cycle,"Photosynthesis is responsible for modern Earth's atmosphere and releases oxygen into the atmosphere, which contributes to the unusually high concentration of oxygen gas on Earth.",answered,False,,0.3246,0.0,0.08
5ad267e2d7d075001a429247,True,What would be higher if there were fewer people?,,The provided documents do not contain this information.,refused,True,model_judgement,0.2957,1.0,1.0
5ad405f0604f3c001a3ffe2d,True,How did Yesun Temur die,,The provided documents do not contain this information.,refused,True,model_judgement,0.3429,1.0,1.0
573399b54776f41900660e64,False,What suffered considerably for Warsaw when it had an Eastern Bloc economy?,infrastructure | infrastructure | infrastructure,Infrastructure in Warsaw suffered considerably during its time as an Eastern Bloc economy.,answered,False,,0.3066,0.0,0.1538
5a1c883cb4fb5d0018714672,True,By how much did Jacksonville's Hispanic white population decline? Call,,The provided documents do not contain this information.,refused,True,model_judgement,0.3635,1.0,1.0
5705f13d52bb8914006896f4,False,How many counties initially made up the definition of southern California?,seven | seven | seven,Seven.,answered,False,,0.2834,1.0,1.0
5a7b086921c2de001afe9d04,True,The two city limits parks are located in which direction?,,The provided documents do not contain this information.,refused,True,retrieval_distance,0.5668,1.0,1.0
5a8241e631013a001a335364,True,How many cardio rooms are at the Lavietes Pavillion?,,The provided documents do not contain this information.,refused,True,retrieval_distance,0.642,1.0,1.0
5733a560d058e614000b5f7b,False,What did a greedy merchant do to the mermaid?,captured | captured the mermaid | captured,"The greedy merchant followed the fishermen who were admiring her beauty and listening to her songs, and then he captured the mermaid.",answered,False,,0.3501,0.0,0.1905
