qid,is_impossible,question,gold,prediction,refused,em,f1
5ad265efd7d075001a4291d3,True,What is the partial pressure of O in breathing gas?,,The partial pressure of O2 in breathing gas is about 30 kPa.,False,0.0,0.0
5730a4d02461fd1900a9cf2b,False,Where did France focus its efforts to rebuild its empire?,"Africa | North and West Africa | North and West Africa | North and West Africa, as well as South-East Asia, with other conquests in Central and East Africa, as well as the South Pacific | North and West Africa, as well as South-East Asia,","North and West Africa, as well as South-East Asia.",False,1.0,1.0
5733a560d058e614000b5f7b,False,What did a greedy merchant do to the mermaid?,captured | captured the mermaid | captured,"The greedy merchant followed the fishermen who were admiring her beauty and listening to her voice, and then he captured the mermaid.",False,0.0,0.1905
5ad02fdf77cf76001a686d98,True,The Presiding Officer tries the achieve a balance between similar viewpoints and whom?,,"The provided context does not contain this information. However, based on the general understanding of parliamentary procedures, it can be inferred that the Presiding Officer would try to achieve a balance between different viewpoints and political parties.   But according to the given text, the cor",False,0.0,0.0
57106185b654c5140001f8dd,False,What Swiss city was the center of the Calvinist movement?,Geneva | Geneva | Geneva,Geneva was John Calvin's adopted home and the centre of the Calvinist movement.,False,0.0,0.1667
5a6cefd64eec6b001a80a70a,True,Which countries use the red Greek cross as a symbol of pharmacy?,,"The provided documents do not contain this information.  However, it does mention that the green Greek cross is used in several countries.",False,0.0,0.0
5a669800f038b7001ab0c03f,True,"Though the name was correct, all these services were managed by who?",,The provided documents do not contain this information.,True,1.0,1.0
57108c95b654c5140001f97c,False,What is located within this district?,the oldest street in the United States of America | the oldest street in the United States of America | the oldest street in the United States of America,The provided documents do not contain this information.,True,0.0,0.0
56e1efa0e3433e140042321d,False,What implication can be derived for P and NP if P and co-NP are established to be unequal?,P is not equal to NP | not equal | P is not equal to NP,"The provided context does not directly address the question of what happens if P and co-NP are established to be unequal. However, it does mention that if NP is not equal to co-NP, then P is not equal to NP. Since the relationship between P and NP is being discussed in relation to the relationship b",False,0.0,0.12
5a834caae60761001a2eb53a,True,How do plankton fertilize their eggs?,,The provided documents do not contain this information.,True,1.0,1.0
5acf86ff77cf76001a6850fa,True,Who's office did students occupy in a protest over rental policies in 1965?,,"The provided documents do not contain this information.   However, according to the context, it was actually in 1962 that students occupied President George Beadle's office in a protest over the university's off-campus rental policies.",False,0.0,0.0
5ad243a7d7d075001a428a07,True,What is income inequality not attributed to?,,The provided documents do not contain this information.,True,1.0,1.0
5ad3f350604f3c001a3ff8f1,True,Who made Robert of Jumieges earl of Hereford?,,The provided documents do not contain this information.,True,1.0,1.0
57265c10f1498d1400e8dd37,False,What happens when bathocyroe and ocyropsis clap their lobes together?,jet of expelled water drives them backwards very quickly. | jet of expelled water drives them backwards very quickly | expelled water drives them backwards very quickly,"When Bathocyroe and Ocyropsis clap their lobes together, a jet of expelled water drives them backwards very quickly.",False,0.0,0.6923
5a8930573b2508001a72a505,True,What is the name of one type of test where p+1 or p-1 takes a certain shape?,,"The provided context does not explicitly mention the name of the test, but it mentions that ""Other primes where either p + 1 or p − 1 is of a particular shape include..."". However, based on the information given, one type of prime numbers mentioned in this context are Sophie Germain primes.",False,0.0,0.0
5710eb6fb654c5140001fa19,False,Which Spanish officer established the settlement at St. Augustine?,Pedro Menéndez de Avilés | Pedro Menéndez de Avilés | Pedro Menéndez de Avilés,Pedro Menéndez de Avilés.,False,1.0,1.0
57111ab8a58dae1900cd6c3c,False,What protestant religions made Northern European counties safe for Huguenot immigration?,Lutheran and Reformed | Lutheran and Reformed | Lutheran and Reformed,Lutheran and Reformed states in Germany and Scandinavia made Northern European counties safe for Huguenot immigration.,False,0.0,0.3158
5ad3bbcc604f3c001a3feecd,True,In Sept 1706 who negotiated a capitulation from Montreal?,,The provided documents do not contain this information.,True,1.0,1.0
5ad247b0d7d075001a428b44,True,What can't work to even the distribution of wealth?,,The provided documents do not contain this information.,True,1.0,1.0
572a07fc6aef0514001551dc,False,What molecules of the adaptive immune system only exist in jawed vertebrates?,immunoglobulins and T cell receptors | immunoglobulins and T cell receptors | immunoglobulins,Immunoglobulins and T cell receptors.,False,1.0,1.0
572fc80b04bcaa1900d76d11,False,When are subject committees established?,beginning of each parliamentary session | beginning of each parliamentary session | at the beginning of each parliamentary session,Subject committees are established at the beginning of each parliamentary session.,False,0.0,0.75
572ff626947a6a140053ce91,False,What have the two different Islamist movements been described as oscillating between?,poles | two poles | poles,Two poles.,False,1.0,1.0
5ad54f775b96ef001a10ac8b,True,How would one abbreviate T(n)=8n2 + 16n = 40 in big O notatation?,,The provided documents do not contain this information.,True,1.0,1.0
572f567cb2c2fd1400568041,False,Where does the Rhine river's measurement begin?,Old Rhine Bridge at Constance | Old Rhine Bridge at Constance | the Old Rhine Bridge at Constance | Old Rhine Bridge at Constance | Old Rhine Bridge,"The ""Old Rhine Bridge at Constance"" is where the Rhine river's measurement begins, specifically at 0 km.",False,0.0,0.5
5a836496e60761001a2eb65a,True,What direction do cilia usually swim?,,Away from the mouth.,False,0.0,0.0
5a55234d134fea001a0e1975,True,Who spread awareness of national networking? ,,The provided documents do not contain this information.,True,1.0,1.0
