qid,category,expected,question,condition,answer,outcome,refused,refusal_reason,nearest_distance,sources,total_s,behaved_correctly,answer_correct,error
A01,answerable,answer,What does the Viterbi algorithm compute for a hidden Markov model?,k=1,The Viterbi algorithm computes the most likely sequence of hidden events that would explain a sequence of observed events.,answered,False,,0.2248,Viterbi algorithm.pdf,7.454,True,,
A02,answerable,answer,What normal form must a grammar be in before the CYK algorithm can be applied?,k=1,Chomsky normal form (CNF).,answered,False,,0.2156,CYK algorithm.pdf,5.641,True,,
A03,answerable,answer,Which researchers is the CYK algorithm named after?,k=1,"The CYK algorithm is named after John Cocke, Daniel Younger, Tadao Kasami, and Itiroo Sakai.",answered,False,,0.4099,CYK algorithm.pdf,8.847,True,,
A04,answerable,answer,What are the two model architectures used by Word2Vec?,k=1,The provided documents do not contain this information.,refused,True,model_judgement,0.3009,Word2Vec - Wikipedia.pdf,5.559,False,,
A05,answerable,answer,Which two approximate training methods reduce the cost of the softmax in word2vec?,k=1,The provided documents do not contain this information.,refused,True,model_judgement,0.4231,Word2Vec - Wikipedia.pdf,5.464,False,,
A06,answerable,answer,How is tf-idf weighting calculated?,k=1,The provided documents do not contain this information.,refused,True,model_judgement,0.2441,tf–idf.pdf,5.098,False,,
A07,answerable,answer,What corpus statistics does GloVe use to learn word vectors?,k=1,The provided documents do not contain this information.,refused,True,model_judgement,0.3503,glove.pdf,5.839,False,,
A08,answerable,answer,What two tasks is BERT pretrained on?,k=1,The provided documents do not contain this information.,refused,True,model_judgement,0.3481,bert.pdf,4.42,False,,
A09,answerable,answer,How does the fastText subword model represent a word?,k=1,The fastText subword model represents a word as the sum of its subword vectors.,answered,False,,0.2446,subword-embedding.pdf,6.493,True,,
A10,answerable,answer,Why does the transformer need positional encoding?,k=1,The provided documents do not contain this information.,refused,True,model_judgement,0.3947,transformer.pdf,4.181,False,,
A11,answerable,answer,How is the accuracy of speech recognition systems usually measured?,k=1,The provided documents do not contain this information.,refused,True,model_judgement,0.2864,Speech recognition.pdf,5.179,False,,
A12,answerable,answer,What dataset is used for sentiment analysis in the Dive into Deep Learning chapter?,k=1,The provided documents do not contain this information.,refused,True,model_judgement,0.3741,README.md,4.29,False,,
A13,answerable,answer,When was GPT-4 released?,k=1,The provided documents do not contain this information.,refused,True,model_judgement,0.2871,GPT-4.pdf,7.45,False,,
