qid,question,condition,answer,outcome,refused,refusal_reason,nearest_distance,sources,total_s,behaved_correctly,answer_correct,error,category,expected
A01,What is the difference between an intrinsic and an extrinsic evaluation of a language model?,Fixed-size,"An intrinsic evaluation measures the quality of a model independent of any application, whereas an extrinsic evaluation involves embedding the model in an application and measuring how much it improves the task at hand. Extrinsic evaluation is considered more reliable as it shows whether improvements in a component actually benefit the overall task.",answered,False,,0.2934,"course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf",4.413,True,,,answerable,answer
A02,How does the Markov assumption simplify the task of language modelling?,Fixed-size,The provided documents do not contain this information.,refused,True,model_judgement,0.3803,"course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf",1.736,False,,,answerable,answer
A03,What is the difference between word types and word tokens in a corpus?,Fixed-size,"According to the context, the main difference between word types and word tokens is that:  * Word types (also referred to as ""types"") are the classes of all words containing the same character sequence. * Word tokens (also referred to as ""tokens"") are the individual instances of a word in a particular document.  In other words, multiple occurrences of the same word are considered one type, but each occurrence is counted as a separate token.",answered,False,,0.2546,"course-reading-wk4.1.pdf; course-reading-wk3.2.pdf; course-reading-wk3.2.pdf",6.131,True,,,answerable,answer
A04,What is the Naive Bayes assumption and how does it affect probability calculations?,Fixed-size,"The Naive Bayes assumption, also known as the conditional independence assumption, is that the probabilities P(fi|c) are independent given the class c. This allows us to ""naively"" multiply these probabilities together instead of calculating their joint probability.  This assumption affects probability calculations in the following way: instead of calculating a complex joint probability for all features f1 through fn, we can simply multiply their individual probabilities together as shown in equation (4.7): P(f1, f2, ..., fn|c) = P(f1|c)·P(f2|c)·...·P(fn|c).",answered,False,,0.3478,"course-reading-wk2.2.pdf; course-reading-wk2.2.pdf; course-reading-wk2.2.pdf",8.44,True,,,answerable,answer
A05,In a confusion matrix how are precision and recall calculated?,Fixed-size,"The provided documents do not contain this information. However, it is mentioned that ""we have shown how to compute a distinct precision and recall value for each class.""",hedged,False,model_judgement,0.3597,"course-reading-wk2.2.pdf; course-reading-wk2.2.pdf; course-reading-wk2.2.pdf",3.081,True,,,answerable,answer
A07,What are stopwords and why are they removed during text preprocessing?,Fixed-size,"Stopwords are extremely common words that are excluded from the vocabulary entirely because they would appear to be of little value in helping select documents matching a user's need. They are usually eliminated during indexing, which significantly reduces the number of postings that a system has to store. This is done to improve search results and reduce unnecessary information.",answered,False,,0.3453,"course-reading-wk3.2.pdf; course-reading-wk3.2.pdf; course-reading-wk3.1.pdf",4.932,True,,,answerable,answer
A08,Describe the parallelogram model used in word embeddings to solve analogies.,Fixed-size,The provided documents do not contain this information.,refused,True,model_judgement,0.2027,"course-reading-wk8.1.pdf; course-reading-wk8.2.pdf; course-reading-wk8.4.pdf",1.749,False,,,answerable,answer
A09,What is perplexity and how does it relate to a language's branching factor?,Fixed-size,"Perplexity is closely related to the information-theoretic notion of entropy, and it's also equivalent to the weighted average branching factor of a language. The weighted branching factor is smaller when the probability of some next numbers (in this case, zero) is very predictable, even if the overall branching factor remains the same.",answered,False,,0.3504,"course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf",4.874,True,,,answerable,answer
A10,What is the purpose of smoothing in n-gram models?,Fixed-size,The provided documents do not contain this information.,refused,True,model_judgement,0.32,"course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf",1.726,False,,,answerable,answer
A11,What is the difference between stemming and lemmatization?,Fixed-size,"According to the context, the main differences between stemming and lemmatization are:  1. Stemming mainly strips suffixes from the end of a word, whereas lemmatization attempts to return the base or dictionary form (lemma) of a word. 2. Stemming commonly collapses derivationally related words, whereas lemmatization only collapses different inflectional forms of a lemma. 3. Lemmatization is more precise in its approach and takes into account the part of speech (verb or noun) when determining the base form, whereas stemming returns a more general form (e.g., ""s"" from ""saw"").",answered,False,,0.2237,"course-reading-wk3.2.pdf; course-reading-wk4.1.pdf; course-reading-wk3.2.pdf",8.415,True,,,answerable,answer
A13,Who first implemented the dynamic programming parser behind the CKY algorithm?,Fixed-size,"According to the context, John Cocke was the first person who implemented a dynamic programming parser containing the roots of the CKY algorithm in 1960.",answered,False,,0.2409,"course-reading-wk7.2.pdf; course-reading-wk7.2.pdf; course-reading-wk7.2.pdf",2.985,True,,,answerable,answer
A14,What perplexity did the trigram model achieve in the worked example?,Fixed-size,The provided documents do not contain this information.,refused,True,model_judgement,0.4659,"course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk8.4.pdf",1.847,False,,,answerable,answer
B01,What is the capital of Brazil?,Fixed-size,The provided documents do not contain this information.,refused,True,retrieval_distance,0.7878,,0.033,True,,,out_of_corpus,refuse
B02,Who won the 2018 FIFA World Cup?,Fixed-size,The provided documents do not contain this information.,refused,True,retrieval_distance,0.768,,0.026,True,,,out_of_corpus,refuse
B03,What is the boiling point of water in Fahrenheit?,Fixed-size,The provided documents do not contain this information.,refused,True,retrieval_distance,0.7182,,0.039,True,,,out_of_corpus,refuse
B04,How tall is Mount Kilimanjaro?,Fixed-size,The provided documents do not contain this information.,refused,True,retrieval_distance,0.7601,,0.03,True,,,out_of_corpus,refuse
B05,What year was the Eiffel Tower completed?,Fixed-size,The provided documents do not contain this information.,refused,True,retrieval_distance,0.7607,,0.032,True,,,out_of_corpus,refuse
B06,What is the currency of Japan?,Fixed-size,The provided documents do not contain this information.,refused,True,retrieval_distance,0.634,,0.04,True,,,out_of_corpus,refuse
B07,Who wrote the novel Wuthering Heights?,Fixed-size,The provided documents do not contain this information.,refused,True,retrieval_distance,0.7439,,0.041,True,,,out_of_corpus,refuse
B08,What is the chemical symbol for tungsten?,Fixed-size,The provided documents do not contain this information.,refused,True,retrieval_distance,0.677,,0.028,True,,,out_of_corpus,refuse
B09,How many time zones does Russia have?,Fixed-size,The provided documents do not contain this information.,refused,True,retrieval_distance,0.6984,,0.031,True,,,out_of_corpus,refuse
B10,What is the population of Singapore?,Fixed-size,The provided documents do not contain this information.,refused,True,retrieval_distance,0.7222,,0.029,True,,,out_of_corpus,refuse
B11,Who is the chief executive of OpenAI?,Fixed-size,The provided documents do not contain this information.,refused,True,retrieval_distance,0.774,,0.034,True,,,out_of_corpus,refuse
B12,What is the world record for the men's 100 metre sprint?,Fixed-size,The provided documents do not contain this information.,refused,True,retrieval_distance,0.698,,0.028,True,,,out_of_corpus,refuse
A15,How is TF-IDF weighting calculated?,Fixed-size,"The TF-IDF weighted value wt,d for word t in document d combines termtf-idf frequency tft,d (deﬁned either by Eq. 6.11 or by Eq. 6.12) with idf from Eq. 6.13: wt,d = tft,d× idft (6.14).",answered,False,,0.2785,"course-reading-wk8.1.pdf; course-reading-wk8.2.pdf; course-reading-wk8.4.pdf",5.347,True,,,answerable,answer
A16,Why is cosine similarity preferred over the raw dot product for comparing word embeddings?,Fixed-size,The provided documents do not contain this information.,refused,True,model_judgement,0.2892,"course-reading-wk8.1.pdf; course-reading-wk8.3.pdf; course-reading-wk8.4.pdf",1.791,False,,,answerable,answer
C03,How many parameters does GPT-4 have?,Fixed-size,The provided documents do not contain this information.,refused,True,retrieval_distance,0.6779,,0.034,True,,,related_unanswerable,refuse
C04,Which Python library should I use to implement a CKY parser?,Fixed-size,The provided documents do not contain this information.,refused,True,model_judgement,0.5021,"course-reading-wk7.2.pdf; course-reading-wk7.2.pdf; course-reading-wk7.2.pdf",1.726,True,,,related_unanswerable,refuse
C05,What learning rate should I use when training a deep learning language model?,Fixed-size,The provided documents do not contain this information.,refused,True,retrieval_distance,0.5556,,0.036,True,,,related_unanswerable,refuse
A17,What is positive pointwise mutual information and how is it computed?,Fixed-size,"According to the context, Positive Pointwise Mutual Information (PPMI) is defined as:  PPMI(w,c) = max(log2 P(w,c) / (P(w)P(c)), 0)  This means that PPMI is calculated by taking the logarithm of the probability of two words co-occurring divided by the product of their individual probabilities, and then taking the maximum value between this result and zero. If the result is negative, it is replaced with zero.  In other words, PPMI measures the strength of association between a word and its context, while ignoring cases where the association is weak or negative.",answered,False,,0.3181,"course-reading-wk8.2.pdf; course-reading-wk8.3.pdf; course-reading-wk8.4.pdf",8.529,True,,,answerable,answer
A01,What is the difference between an intrinsic and an extrinsic evaluation of a language model?,Sentence-aware,"According to the context, the main difference between an intrinsic and an extrinsic evaluation of a language model is:  Intrinsic evaluation measures the quality of a model independently of any application, whereas Extrinsic evaluation embeds the model in an application and measures how much it improves the performance of that application. In other words, intrinsic evaluation assesses the model's internal quality, while extrinsic evaluation assesses its practical usefulness.",answered,False,,0.3176,"course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf",5.51,True,,,answerable,answer
